param;value
filename;./inputData/BrasilNE50n.car
base_seed;1
nRuns;51
iterations;100
antsN;50
stagnation;30
favorites;0
gbPeriod;0
rhoNodes;0.1
rhoCars;0.1
rhoPass;0.1
alphaNodes;1.5
alphaCars;1.5
alphaPass;1.5
betaNodes;1.2
betaCars;1.2
betaPass;1.1
maxMinCars;0
maxMinNodes;0
pBestCars;0
useTBAS;0
sampleCars;1
enforceNoRerent;1
returnFactorCars;0
epsilonEtaCars;1e-06
smGammaCars;0.7
restartTargetCars;mid
exploreCars;0
exploreItersCars;20
exploreRhoMultCars;2
policyQ0;0.1
adaptiveQ0;1
q0Start;0.2
q0End;0.9
eliteKAnts;7
lsTopW;0
lsQuality;High
useReinsertion;0
reinsertionMaxPasses;5
dpCacheCapacity;5000
dpMaxSegmentLenOffset;5
intensifierEnabled;1
intensifierMaxStagnationIterations;3
intensifierResetPheromonesCount;2
intensifierPheromoneReductionGamma;0.3
intensifierArchiveAndResetBest;1
ablationDisableAntDepositsDuringIntensification;0
ablationResetPheromonesOnIntensifierActivation;0
ablationIntensifierOnlyNoAnts;0
ablationIntensifierOnlyRandomInitialTour;0
runSeeds;run0=9176377229071207081,run1=76241568449944305,run2=11569656429252920891,run3=8006770736520076435,run4=10222608011239175760,run5=83674907983555125,run6=16633518659454552880,run7=3348662810425028053,run8=1625020296661546126,run9=8722260422266777814,run10=18422523289718600251,run11=12120595211417451604,run12=11180516292616150398,run13=13235578871255005297,run14=17784125318686945540,run15=15956506419893335137,run16=2899130862535483918,run17=11850605890185619915,run18=13353388233111958045,run19=6644193456908987648,run20=9748498986499756733,run21=9610614758425770644,run22=16467222360164019310,run23=11726302834367551336,run24=8896860786397106362,run25=6737285527070588895,run26=11634350522773239934,run27=7808547232002136844,run28=3287009989320200796,run29=8484872300069380217,run30=8138020970177873692,run31=16735953543485209995,run32=957827445528146549,run33=9178821638437730898,run34=2354512119315649564,run35=10160966691791677292,run36=27474500062045820,run37=7844575079918988844,run38=15524044195614787644,run39=4980590106503615414,run40=3943098024137922559,run41=141425323448007506,run42=16001952662412044218,run43=6069959457317431616,run44=2033442876187297925,run45=7223543130371895193,run46=4350234967155519396,run47=10524526614539617298,run48=3004527168784687515,run49=3975454624479931874,run50=1666912681748276242
stagnationEvents;run0=2,run1=2,run2=1,run3=1,run4=1,run5=2,run6=1,run7=2,run8=2,run9=2,run10=1,run11=2,run12=1,run13=1,run14=2,run15=2,run16=2,run17=1,run18=2,run19=2,run20=1,run21=1,run22=1,run23=2,run24=2,run25=1,run26=1,run27=2,run28=2,run29=1,run30=2,run31=2,run32=1,run33=2,run34=2,run35=1,run36=2,run37=2,run38=2,run39=2,run40=1,run41=1,run42=1,run43=1,run44=2,run45=1,run46=2,run47=2,run48=2,run49=2,run50=1
lkCalls;run0=2,run1=2,run2=1,run3=1,run4=1,run5=2,run6=1,run7=2,run8=2,run9=2,run10=1,run11=2,run12=1,run13=1,run14=2,run15=2,run16=2,run17=1,run18=2,run19=2,run20=1,run21=1,run22=1,run23=2,run24=2,run25=1,run26=1,run27=2,run28=2,run29=1,run30=2,run31=2,run32=1,run33=2,run34=2,run35=1,run36=2,run37=2,run38=2,run39=2,run40=1,run41=1,run42=1,run43=1,run44=2,run45=1,run46=2,run47=2,run48=2,run49=2,run50=1
lkSuccess;run0=0,run1=0,run2=0,run3=0,run4=0,run5=0,run6=0,run7=0,run8=0,run9=0,run10=0,run11=0,run12=0,run13=0,run14=0,run15=0,run16=0,run17=0,run18=0,run19=0,run20=0,run21=0,run22=0,run23=0,run24=0,run25=0,run26=0,run27=0,run28=0,run29=0,run30=0,run31=0,run32=0,run33=0,run34=0,run35=0,run36=0,run37=0,run38=0,run39=0,run40=0,run41=0,run42=0,run43=0,run44=0,run45=0,run46=0,run47=0,run48=0,run49=0,run50=0
tOptCalls;run0=0,run1=0,run2=0,run3=0,run4=0,run5=0,run6=0,run7=0,run8=0,run9=0,run10=0,run11=0,run12=0,run13=0,run14=0,run15=0,run16=0,run17=0,run18=0,run19=0,run20=0,run21=0,run22=0,run23=0,run24=0,run25=0,run26=0,run27=0,run28=0,run29=0,run30=0,run31=0,run32=0,run33=0,run34=0,run35=0,run36=0,run37=0,run38=0,run39=0,run40=0,run41=0,run42=0,run43=0,run44=0,run45=0,run46=0,run47=0,run48=0,run49=0,run50=0
tOptSuccess;run0=0,run1=0,run2=0,run3=0,run4=0,run5=0,run6=0,run7=0,run8=0,run9=0,run10=0,run11=0,run12=0,run13=0,run14=0,run15=0,run16=0,run17=0,run18=0,run19=0,run20=0,run21=0,run22=0,run23=0,run24=0,run25=0,run26=0,run27=0,run28=0,run29=0,run30=0,run31=0,run32=0,run33=0,run34=0,run35=0,run36=0,run37=0,run38=0,run39=0,run40=0,run41=0,run42=0,run43=0,run44=0,run45=0,run46=0,run47=0,run48=0,run49=0,run50=0
kickCalls;run0=2,run1=2,run2=1,run3=1,run4=1,run5=2,run6=1,run7=2,run8=2,run9=2,run10=1,run11=2,run12=1,run13=1,run14=2,run15=2,run16=2,run17=1,run18=2,run19=2,run20=1,run21=1,run22=1,run23=2,run24=2,run25=1,run26=1,run27=2,run28=2,run29=1,run30=2,run31=2,run32=1,run33=2,run34=2,run35=1,run36=2,run37=2,run38=2,run39=2,run40=1,run41=1,run42=1,run43=1,run44=2,run45=1,run46=2,run47=2,run48=2,run49=2,run50=1
kickSuccess;run0=0,run1=0,run2=0,run3=0,run4=0,run5=0,run6=0,run7=0,run8=0,run9=0,run10=0,run11=0,run12=0,run13=0,run14=0,run15=0,run16=0,run17=0,run18=0,run19=0,run20=0,run21=0,run22=0,run23=0,run24=0,run25=0,run26=0,run27=0,run28=0,run29=0,run30=0,run31=0,run32=0,run33=0,run34=0,run35=0,run36=0,run37=0,run38=0,run39=0,run40=0,run41=0,run42=0,run43=0,run44=0,run45=0,run46=0,run47=0,run48=0,run49=0,run50=0
cacheEvalHitRate;run0=45.13%,run1=44.37%,run2=51.09%,run3=51.70%,run4=47.58%,run5=46.07%,run6=52.30%,run7=47.67%,run8=53.15%,run9=50.45%,run10=49.97%,run11=37.23%,run12=54.78%,run13=42.61%,run14=48.34%,run15=51.79%,run16=48.49%,run17=46.09%,run18=44.88%,run19=54.39%,run20=43.25%,run21=47.00%,run22=50.70%,run23=52.85%,run24=51.12%,run25=51.24%,run26=48.09%,run27=47.76%,run28=53.57%,run29=55.78%,run30=64.01%,run31=52.21%,run32=43.34%,run33=42.55%,run34=51.79%,run35=49.15%,run36=57.57%,run37=53.48%,run38=53.90%,run39=53.15%,run40=46.34%,run41=47.55%,run42=53.69%,run43=52.94%,run44=49.64%,run45=54.88%,run46=48.24%,run47=39.38%,run48=53.78%,run49=52.36%,run50=53.91%
cacheReasHitRate;run0=66.90%,run1=65.94%,run2=73.04%,run3=72.87%,run4=66.70%,run5=68.88%,run6=73.81%,run7=69.61%,run8=73.97%,run9=70.07%,run10=71.74%,run11=64.46%,run12=74.00%,run13=66.67%,run14=70.54%,run15=72.65%,run16=69.03%,run17=68.52%,run18=65.90%,run19=74.34%,run20=65.99%,run21=69.37%,run22=72.55%,run23=73.69%,run24=72.47%,run25=71.22%,run26=69.69%,run27=65.94%,run28=74.28%,run29=75.53%,run30=78.04%,run31=72.76%,run32=67.25%,run33=65.56%,run34=73.75%,run35=71.32%,run36=76.73%,run37=74.30%,run38=74.67%,run39=71.64%,run40=68.38%,run41=69.73%,run42=74.23%,run43=74.19%,run44=70.19%,run45=75.00%,run46=69.47%,run47=61.70%,run48=74.37%,run49=68.15%,run50=74.01%
lkSuccessRate;run0=0.00% (cache:45.1%),run1=0.00% (cache:44.4%),run2=0.00% (cache:51.1%),run3=0.00% (cache:51.7%),run4=0.00% (cache:47.6%),run5=0.00% (cache:46.1%),run6=0.00% (cache:52.3%),run7=0.00% (cache:47.7%),run8=0.00% (cache:53.1%),run9=0.00% (cache:50.5%),run10=0.00% (cache:50.0%),run11=0.00% (cache:37.2%),run12=0.00% (cache:54.8%),run13=0.00% (cache:42.6%),run14=0.00% (cache:48.3%),run15=0.00% (cache:51.8%),run16=0.00% (cache:48.5%),run17=0.00% (cache:46.1%),run18=0.00% (cache:44.9%),run19=0.00% (cache:54.4%),run20=0.00% (cache:43.2%),run21=0.00% (cache:47.0%),run22=0.00% (cache:50.7%),run23=0.00% (cache:52.8%),run24=0.00% (cache:51.1%),run25=0.00% (cache:51.2%),run26=0.00% (cache:48.1%),run27=0.00% (cache:47.8%),run28=0.00% (cache:53.6%),run29=0.00% (cache:55.8%),run30=0.00% (cache:64.0%),run31=0.00% (cache:52.2%),run32=0.00% (cache:43.3%),run33=0.00% (cache:42.6%),run34=0.00% (cache:51.8%),run35=0.00% (cache:49.2%),run36=0.00% (cache:57.6%),run37=0.00% (cache:53.5%),run38=0.00% (cache:53.9%),run39=0.00% (cache:53.1%),run40=0.00% (cache:46.3%),run41=0.00% (cache:47.5%),run42=0.00% (cache:53.7%),run43=0.00% (cache:52.9%),run44=0.00% (cache:49.6%),run45=0.00% (cache:54.9%),run46=0.00% (cache:48.2%),run47=0.00% (cache:39.4%),run48=0.00% (cache:53.8%),run49=0.00% (cache:52.4%),run50=0.00% (cache:53.9%)
tOptSuccessRate;run0=N/A,run1=N/A,run2=N/A,run3=N/A,run4=N/A,run5=N/A,run6=N/A,run7=N/A,run8=N/A,run9=N/A,run10=N/A,run11=N/A,run12=N/A,run13=N/A,run14=N/A,run15=N/A,run16=N/A,run17=N/A,run18=N/A,run19=N/A,run20=N/A,run21=N/A,run22=N/A,run23=N/A,run24=N/A,run25=N/A,run26=N/A,run27=N/A,run28=N/A,run29=N/A,run30=N/A,run31=N/A,run32=N/A,run33=N/A,run34=N/A,run35=N/A,run36=N/A,run37=N/A,run38=N/A,run39=N/A,run40=N/A,run41=N/A,run42=N/A,run43=N/A,run44=N/A,run45=N/A,run46=N/A,run47=N/A,run48=N/A,run49=N/A,run50=N/A

iter;time_ms_mean;time_ms_min;time_ms_max;run0;run1;run2;run3;run4;run5;run6;run7;run8;run9;run10;run11;run12;run13;run14;run15;run16;run17;run18;run19;run20;run21;run22;run23;run24;run25;run26;run27;run28;run29;run30;run31;run32;run33;run34;run35;run36;run37;run38;run39;run40;run41;run42;run43;run44;run45;run46;run47;run48;run49;run50;min;p10;q1;median;q3;p90;max;mean
0;1669.7;1183.5;2169.7;627.0;620.0;611.0;628.0;630.0;645.0;625.0;618.0;618.0;613.0;627.0;632.0;647.0;615.0;632.0;636.0;619.0;620.0;623.0;625.0;618.0;633.0;619.0;625.0;623.0;641.0;638.0;613.0;661.0;616.0;615.0;650.0;611.0;618.0;622.0;632.0;621.0;626.0;626.0;624.0;621.0;626.0;610.0;624.0;637.0;630.0;627.0;613.0;632.0;626.0;623.0;610.0;613.0;618.5;625.0;631.0;638.0;661.0;625.7
1;3124.6;2554.6;3894.8;644.0;685.0;647.0;625.0;719.0;677.0;621.0;756.0;688.0;678.0;677.0;719.0;693.0;764.0;723.0;623.0;643.0;684.0;668.0;623.0;617.0;740.0;686.0;623.0;657.0;678.0;635.0;610.0;673.0;670.0;700.0;649.0;655.0;690.0;621.0;733.0;726.0;776.0;705.0;720.0;747.0;620.0;683.0;620.0;634.0;627.0;712.0;681.0;631.0;716.0;676.0;610.0;621.0;634.5;677.0;708.5;733.0;776.0;675.8
2;4536.3;3805.3;5508.3;697.0;732.0;687.0;709.0;710.0;629.0;744.0;732.0;682.0;675.0;693.0;647.0;677.0;711.0;685.0;733.0;685.0;700.0;731.0;668.0;725.0;756.0;690.0;673.0;653.0;728.0;675.0;731.0;695.0;743.0;679.0;688.0;694.0;707.0;712.0;645.0;669.0;744.0;680.0;701.0;726.0;723.0;666.0;665.0;674.0;734.0;714.0;691.0;765.0;691.0;722.0;629.0;666.0;678.0;695.0;725.5;734.0;765.0;699.7
3;6033.0;5071.8;7085.5;641.0;658.0;675.0;697.0;725.0;683.0;735.0;666.0;703.0;673.0;679.0;698.0;706.0;667.0;753.0;670.0;642.0;702.0;756.0;727.0;694.0;672.0;740.0;661.0;668.0;683.0;672.0;707.0;691.0;751.0;673.0;713.0;688.0;708.0;747.0;735.0;723.0;649.0;715.0;706.0;679.0;722.0;645.0;652.0;705.0;766.0;692.0;712.0;688.0;698.0;706.0;641.0;658.0;672.5;697.0;714.0;740.0;766.0;696.4
4;7242.2;6158.7;8603.3;659.0;658.0;699.0;687.0;688.0;733.0;653.0;668.0;703.0;714.0;638.0;701.0;633.0;700.0;723.0;705.0;685.0;725.0;662.0;697.0;770.0;692.0;645.0;684.0;724.0;651.0;694.0;686.0;712.0;731.0;636.0;626.0;668.0;670.0;683.0;696.0;688.0;693.0;715.0;689.0;682.0;709.0;676.0;702.0;721.0;658.0;666.0;693.0;660.0;700.0;717.0;626.0;651.0;667.0;689.0;704.0;723.0;770.0;687.6
5;8428.6;7144.1;10086.2;715.0;713.0;701.0;699.0;643.0;729.0;650.0;718.0;727.0;723.0;689.0;613.0;667.0;701.0;637.0;739.0;618.0;648.0;708.0;643.0;720.0;630.0;680.0;720.0;751.0;681.0;655.0;691.0;631.0;622.0;719.0;685.0;620.0;695.0;643.0;645.0;689.0;703.0;735.0;634.0;711.0;734.0;773.0;652.0;678.0;683.0;712.0;699.0;685.0;634.0;631.0;613.0;631.0;644.0;689.0;714.0;729.0;773.0;682.8
6;9762.4;8362.2;11441.7;616.0;673.0;702.0;640.0;729.0;650.0;669.0;700.0;637.0;765.0;685.0;629.0;674.0;717.0;692.0;765.0;620.0;740.0;726.0;714.0;614.0;625.0;689.0;612.0;636.0;629.0;620.0;622.0;628.0;707.0;666.0;646.0;664.0;629.0;661.0;650.0;698.0;702.0;629.0;648.0;708.0;644.0;683.0;664.0;637.0;711.0;611.0;622.0;630.0;637.0;626.0;611.0;620.0;629.0;650.0;699.0;717.0;765.0;664.5
7;11128.8;9072.2;13098.4;618.0;731.0;743.0;638.0;720.0;630.0;677.0;709.0;703.0;631.0;710.0;628.0;676.0;637.0;639.0;637.0;619.0;656.0;669.0;709.0;639.0;622.0;681.0;617.0;660.0;639.0;635.0;699.0;621.0;647.0;693.0;636.0;679.0;618.0;683.0;714.0;723.0;623.0;656.0;720.0;697.0;669.0;628.0;700.0;667.0;732.0;628.0;686.0;623.0;656.0;661.0;617.0;622.0;633.0;660.0;698.0;720.0;743.0;665.3
8;12498.9;9942.1;14779.9;650.0;698.0;633.0;674.0;614.0;657.0;697.0;693.0;677.0;652.0;683.0;768.0;675.0;725.0;646.0;646.0;698.0;667.0;701.0;676.0;673.0;623.0;651.0;610.0;695.0;636.0;637.0;669.0;625.0;730.0;662.0;695.0;694.0;686.0;668.0;677.0;636.0;625.0;672.0;714.0;694.0;723.0;750.0;681.0;668.0;614.0;647.0;693.0;620.0;712.0;652.0;610.0;625.0;646.5;673.0;694.5;714.0;768.0;671.8
9;13863.7;11272.6;16323.2;634.0;677.0;632.0;652.0;613.0;679.0;680.0;676.0;708.0;689.0;641.0;671.0;706.0;641.0;707.0;670.0;673.0;620.0;728.0;682.0;652.0;666.0;700.0;653.0;676.0;642.0;682.0;668.0;678.0;697.0;658.0;649.0;690.0;693.0;653.0;670.0;667.0;731.0;671.0;702.0;684.0;658.0;708.0;652.0;649.0;631.0;655.0;664.0;622.0;663.0;686.0;613.0;634.0;652.0;670.0;685.0;706.0;731.0;669.6
10;15258.1;12213.0;17811.7;662.0;622.0;701.0;663.0;682.0;636.0;681.0;641.0;720.0;677.0;673.0;693.0;619.0;658.0;621.0;632.0;630.0;633.0;674.0;720.0;690.0;667.0;662.0;677.0;641.0;647.0;657.0;662.0;719.0;634.0;689.0;665.0;716.0;681.0;695.0;628.0;673.0;679.0;661.0;622.0;622.0;647.0;680.0;634.0;666.0;689.0;680.0;663.0;696.0;627.0;673.0;619.0;627.0;638.5;665.0;681.0;696.0;720.0;664.3
11;16674.5;13708.3;19044.1;624.0;695.0;622.0;657.0;713.0;749.0;678.0;627.0;612.0;673.0;619.0;651.0;638.0;666.0;633.0;653.0;637.0;649.0;662.0;710.0;650.0;684.0;692.0;626.0;634.0;619.0;649.0;635.0;681.0;663.0;647.0;611.0;627.0;668.0;677.0;628.0;647.0;696.0;617.0;620.0;674.0;633.0;653.0;644.0;639.0;644.0;686.0;623.0;654.0;622.0;619.0;611.0;619.0;627.0;647.0;670.5;692.0;749.0;651.6
12;18135.2;15275.9;21008.9;673.0;685.0;664.0;704.0;648.0;626.0;665.0;639.0;617.0;643.0;620.0;659.0;657.0;644.0;622.0;662.0;628.0;688.0;618.0;661.0;651.0;676.0;676.0;637.0;638.0;640.0;618.0;678.0;626.0;648.0;643.0;610.0;643.0;632.0;618.0;639.0;679.0;663.0;617.0;624.0;636.0;621.0;630.0;690.0;645.0;642.0;624.0;640.0;658.0;653.0;622.0;610.0;618.0;626.0;643.0;661.5;678.0;704.0;645.9
13;19592.7;16680.9;22421.6;654.0;640.0;639.0;662.0;676.0;623.0;656.0;674.0;664.0;652.0;694.0;630.0;626.0;616.0;629.0;660.0;653.0;651.0;632.0;638.0;662.0;627.0;656.0;648.0;690.0;621.0;617.0;680.0;693.0;670.0;662.0;636.0;658.0;646.0;625.0;675.0;691.0;647.0;692.0;636.0;642.0;632.0;635.0;641.0;639.0;658.0;677.0;641.0;670.0;659.0;705.0;616.0;626.0;636.0;652.0;667.0;690.0;705.0;652.9
14;21650.7;18108.8;24894.4;660.0;657.0;625.0;658.0;619.0;647.0;629.0;652.0;643.0;660.0;640.0;645.0;643.0;635.0;640.0;611.0;628.0;638.0;620.0;679.0;619.0;644.0;619.0;644.0;620.0;625.0;624.0;644.0;647.0;629.0;675.0;647.0;649.0;641.0;634.0;660.0;631.0;618.0;637.0;709.0;645.0;640.0;616.0;640.0;641.0;617.0;634.0;652.0;627.0;663.0;643.0;611.0;619.0;627.5;640.0;647.0;660.0;709.0;640.5
15;23778.1;20469.7;27044.4;621.0;617.0;639.0;643.0;622.0;634.0;624.0;653.0;666.0;644.0;638.0;634.0;636.0;654.0;625.0;635.0;643.0;646.0;649.0;654.0;624.0;627.0;643.0;626.0;628.0;637.0;643.0;650.0;641.0;634.0;622.0;631.0;635.0;624.0;638.0;642.0;671.0;650.0;644.0;631.0;619.0;626.0;644.0;632.0;628.0;636.0;635.0;635.0;625.0;661.0;643.0;617.0;624.0;627.5;636.0;643.5;653.0;671.0;637.3
16;25903.6;21796.2;28758.8;609.0;613.0;653.0;658.0;625.0;611.0;639.0;628.0;643.0;634.0;631.0;610.0;618.0;654.0;620.0;627.0;647.0;622.0;624.0;656.0;639.0;620.0;641.0;624.0;624.0;621.0;629.0;619.0;637.0;638.0;631.0;635.0;639.0;662.0;640.0;624.0;621.0;627.0;622.0;638.0;642.0;620.0;616.0;644.0;631.0;627.0;629.0;634.0;643.0;635.0;632.0;609.0;618.0;622.0;631.0;639.0;647.0;662.0;631.5
17;28111.1;23266.9;31147.3;621.0;632.0;626.0;620.0;633.0;621.0;641.0;636.0;657.0;626.0;646.0;618.0;627.0;636.0;628.0;615.0;637.0;631.0;618.0;622.0;647.0;628.0;631.0;626.0;617.0;623.0;622.0;646.0;615.0;631.0;632.0;651.0;617.0;630.0;627.0;617.0;616.0;622.0;636.0;642.0;630.0;628.0;650.0;621.0;631.0;634.0;645.0;625.0;618.0;632.0;652.0;615.0;617.0;621.5;628.0;636.0;646.0;657.0;630.1
18;30336.6;24637.5;33423.3;630.0;644.0;616.0;622.0;627.0;647.0;631.0;623.0;626.0;623.0;630.0;627.0;626.0;615.0;622.0;642.0;618.0;619.0;626.0;617.0;633.0;620.0;624.0;623.0;627.0;621.0;620.0;619.0;620.0;635.0;618.0;631.0;620.0;632.0;620.0;636.0;617.0;629.0;617.0;634.0;642.0;623.0;628.0;646.0;633.0;626.0;621.0;620.0;651.0;631.0;631.0;615.0;618.0;620.0;626.0;631.0;642.0;651.0;627.0
19;32646.4;26405.1;35797.3;633.0;633.0;630.0;626.0;637.0;636.0;628.0;625.0;626.0;623.0;623.0;626.0;620.0;625.0;626.0;617.0;639.0;622.0;637.0;618.0;622.0;622.0;613.0;635.0;616.0;625.0;622.0;633.0;639.0;620.0;627.0;617.0;622.0;616.0;612.0;611.0;612.0;615.0;611.0;619.0;618.0;633.0;610.0;621.0;608.0;635.0;622.0;620.0;621.0;621.0;619.0;608.0;612.0;618.0;622.0;627.5;635.0;639.0;623.3
