param;value
filename;./inputData/BrasilNE50n.car
base_seed;1
nRuns;51
iterations;100
antsN;50
stagnation;30
favorites;0
gbPeriod;0
rhoNodes;0.1
rhoCars;0.1
rhoPass;0.1
alphaNodes;1.5
alphaCars;1.5
alphaPass;1.5
betaNodes;1.2
betaCars;1.2
betaPass;1.1
maxMinCars;0
maxMinNodes;0
pBestCars;0
useTBAS;0
sampleCars;1
enforceNoRerent;1
returnFactorCars;0
epsilonEtaCars;1e-06
smGammaCars;0.7
restartTargetCars;mid
exploreCars;0
exploreItersCars;20
exploreRhoMultCars;2
policyQ0;0.1
adaptiveQ0;1
q0Start;0.2
q0End;0.9
eliteKAnts;7
lsTopW;0
lsQuality;High
useReinsertion;0
reinsertionMaxPasses;5
dpCacheCapacity;5000
dpMaxSegmentLenOffset;5
intensifierEnabled;1
intensifierMaxStagnationIterations;3
intensifierResetPheromonesCount;2
intensifierPheromoneReductionGamma;0.3
intensifierArchiveAndResetBest;1
ablationDisableAntDepositsDuringIntensification;0
ablationResetPheromonesOnIntensifierActivation;0
ablationIntensifierOnlyNoAnts;0
ablationIntensifierOnlyRandomInitialTour;0
runSeeds;run0=9176377229071207081,run1=76241568449944305,run2=11569656429252920891,run3=8006770736520076435,run4=10222608011239175760,run5=83674907983555125,run6=16633518659454552880,run7=3348662810425028053,run8=1625020296661546126,run9=8722260422266777814,run10=18422523289718600251,run11=12120595211417451604,run12=11180516292616150398,run13=13235578871255005297,run14=17784125318686945540,run15=15956506419893335137,run16=2899130862535483918,run17=11850605890185619915,run18=13353388233111958045,run19=6644193456908987648,run20=9748498986499756733,run21=9610614758425770644,run22=16467222360164019310,run23=11726302834367551336,run24=8896860786397106362,run25=6737285527070588895,run26=11634350522773239934,run27=7808547232002136844,run28=3287009989320200796,run29=8484872300069380217,run30=8138020970177873692,run31=16735953543485209995,run32=957827445528146549,run33=9178821638437730898,run34=2354512119315649564,run35=10160966691791677292,run36=27474500062045820,run37=7844575079918988844,run38=15524044195614787644,run39=4980590106503615414,run40=3943098024137922559,run41=141425323448007506,run42=16001952662412044218,run43=6069959457317431616,run44=2033442876187297925,run45=7223543130371895193,run46=4350234967155519396,run47=10524526614539617298,run48=3004527168784687515,run49=3975454624479931874,run50=1666912681748276242
stagnationEvents;run0=2,run1=2,run2=1,run3=1,run4=1,run5=2,run6=1,run7=2,run8=2,run9=2,run10=1,run11=2,run12=1,run13=1,run14=2,run15=2,run16=2,run17=1,run18=2,run19=2,run20=1,run21=1,run22=1,run23=2,run24=2,run25=1,run26=1,run27=2,run28=2,run29=1,run30=2,run31=2,run32=1,run33=2,run34=2,run35=1,run36=2,run37=2,run38=2,run39=2,run40=1,run41=1,run42=1,run43=1,run44=2,run45=1,run46=2,run47=2,run48=2,run49=2,run50=1
lkCalls;run0=2,run1=2,run2=1,run3=1,run4=1,run5=2,run6=1,run7=2,run8=2,run9=2,run10=1,run11=2,run12=1,run13=1,run14=2,run15=2,run16=2,run17=1,run18=2,run19=2,run20=1,run21=1,run22=1,run23=2,run24=2,run25=1,run26=1,run27=2,run28=2,run29=1,run30=2,run31=2,run32=1,run33=2,run34=2,run35=1,run36=2,run37=2,run38=2,run39=2,run40=1,run41=1,run42=1,run43=1,run44=2,run45=1,run46=2,run47=2,run48=2,run49=2,run50=1
lkSuccess;run0=0,run1=0,run2=0,run3=0,run4=0,run5=0,run6=0,run7=0,run8=0,run9=0,run10=0,run11=0,run12=0,run13=0,run14=0,run15=0,run16=0,run17=0,run18=0,run19=0,run20=0,run21=0,run22=0,run23=0,run24=0,run25=0,run26=0,run27=0,run28=0,run29=0,run30=0,run31=0,run32=0,run33=0,run34=0,run35=0,run36=0,run37=0,run38=0,run39=0,run40=0,run41=0,run42=0,run43=0,run44=0,run45=0,run46=0,run47=0,run48=0,run49=0,run50=0
tOptCalls;run0=0,run1=0,run2=0,run3=0,run4=0,run5=0,run6=0,run7=0,run8=0,run9=0,run10=0,run11=0,run12=0,run13=0,run14=0,run15=0,run16=0,run17=0,run18=0,run19=0,run20=0,run21=0,run22=0,run23=0,run24=0,run25=0,run26=0,run27=0,run28=0,run29=0,run30=0,run31=0,run32=0,run33=0,run34=0,run35=0,run36=0,run37=0,run38=0,run39=0,run40=0,run41=0,run42=0,run43=0,run44=0,run45=0,run46=0,run47=0,run48=0,run49=0,run50=0
tOptSuccess;run0=0,run1=0,run2=0,run3=0,run4=0,run5=0,run6=0,run7=0,run8=0,run9=0,run10=0,run11=0,run12=0,run13=0,run14=0,run15=0,run16=0,run17=0,run18=0,run19=0,run20=0,run21=0,run22=0,run23=0,run24=0,run25=0,run26=0,run27=0,run28=0,run29=0,run30=0,run31=0,run32=0,run33=0,run34=0,run35=0,run36=0,run37=0,run38=0,run39=0,run40=0,run41=0,run42=0,run43=0,run44=0,run45=0,run46=0,run47=0,run48=0,run49=0,run50=0
kickCalls;run0=2,run1=2,run2=1,run3=1,run4=1,run5=2,run6=1,run7=2,run8=2,run9=2,run10=1,run11=2,run12=1,run13=1,run14=2,run15=2,run16=2,run17=1,run18=2,run19=2,run20=1,run21=1,run22=1,run23=2,run24=2,run25=1,run26=1,run27=2,run28=2,run29=1,run30=2,run31=2,run32=1,run33=2,run34=2,run35=1,run36=2,run37=2,run38=2,run39=2,run40=1,run41=1,run42=1,run43=1,run44=2,run45=1,run46=2,run47=2,run48=2,run49=2,run50=1
kickSuccess;run0=0,run1=0,run2=0,run3=0,run4=0,run5=0,run6=0,run7=0,run8=0,run9=0,run10=0,run11=0,run12=0,run13=0,run14=0,run15=0,run16=0,run17=0,run18=0,run19=0,run20=0,run21=0,run22=0,run23=0,run24=0,run25=0,run26=0,run27=0,run28=0,run29=0,run30=0,run31=0,run32=0,run33=0,run34=0,run35=0,run36=0,run37=0,run38=0,run39=0,run40=0,run41=0,run42=0,run43=0,run44=0,run45=0,run46=0,run47=0,run48=0,run49=0,run50=0
cacheEvalHitRate;run0=45.13%,run1=44.37%,run2=51.09%,run3=51.70%,run4=47.58%,run5=46.07%,run6=52.30%,run7=47.67%,run8=53.15%,run9=50.45%,run10=49.97%,run11=37.23%,run12=54.78%,run13=42.61%,run14=48.34%,run15=51.79%,run16=48.49%,run17=46.09%,run18=44.88%,run19=54.39%,run20=43.25%,run21=47.00%,run22=50.70%,run23=52.85%,run24=51.12%,run25=51.24%,run26=48.09%,run27=47.76%,run28=53.57%,run29=55.78%,run30=64.01%,run31=52.21%,run32=43.34%,run33=42.55%,run34=51.79%,run35=49.15%,run36=57.57%,run37=53.48%,run38=53.90%,run39=53.15%,run40=46.34%,run41=47.55%,run42=53.69%,run43=52.94%,run44=49.64%,run45=54.88%,run46=48.24%,run47=39.38%,run48=53.78%,run49=52.36%,run50=53.91%
cacheReasHitRate;run0=66.90%,run1=65.94%,run2=73.04%,run3=72.87%,run4=66.70%,run5=68.88%,run6=73.81%,run7=69.61%,run8=73.97%,run9=70.07%,run10=71.74%,run11=64.46%,run12=74.00%,run13=66.67%,run14=70.54%,run15=72.65%,run16=69.03%,run17=68.52%,run18=65.90%,run19=74.34%,run20=65.99%,run21=69.37%,run22=72.55%,run23=73.69%,run24=72.47%,run25=71.22%,run26=69.69%,run27=65.94%,run28=74.28%,run29=75.53%,run30=78.04%,run31=72.76%,run32=67.25%,run33=65.56%,run34=73.75%,run35=71.32%,run36=76.73%,run37=74.30%,run38=74.67%,run39=71.64%,run40=68.38%,run41=69.73%,run42=74.23%,run43=74.19%,run44=70.19%,run45=75.00%,run46=69.47%,run47=61.70%,run48=74.37%,run49=68.15%,run50=74.01%
lkSuccessRate;run0=0.00% (cache:45.1%),run1=0.00% (cache:44.4%),run2=0.00% (cache:51.1%),run3=0.00% (cache:51.7%),run4=0.00% (cache:47.6%),run5=0.00% (cache:46.1%),run6=0.00% (cache:52.3%),run7=0.00% (cache:47.7%),run8=0.00% (cache:53.1%),run9=0.00% (cache:50.5%),run10=0.00% (cache:50.0%),run11=0.00% (cache:37.2%),run12=0.00% (cache:54.8%),run13=0.00% (cache:42.6%),run14=0.00% (cache:48.3%),run15=0.00% (cache:51.8%),run16=0.00% (cache:48.5%),run17=0.00% (cache:46.1%),run18=0.00% (cache:44.9%),run19=0.00% (cache:54.4%),run20=0.00% (cache:43.2%),run21=0.00% (cache:47.0%),run22=0.00% (cache:50.7%),run23=0.00% (cache:52.8%),run24=0.00% (cache:51.1%),run25=0.00% (cache:51.2%),run26=0.00% (cache:48.1%),run27=0.00% (cache:47.8%),run28=0.00% (cache:53.6%),run29=0.00% (cache:55.8%),run30=0.00% (cache:64.0%),run31=0.00% (cache:52.2%),run32=0.00% (cache:43.3%),run33=0.00% (cache:42.6%),run34=0.00% (cache:51.8%),run35=0.00% (cache:49.2%),run36=0.00% (cache:57.6%),run37=0.00% (cache:53.5%),run38=0.00% (cache:53.9%),run39=0.00% (cache:53.1%),run40=0.00% (cache:46.3%),run41=0.00% (cache:47.5%),run42=0.00% (cache:53.7%),run43=0.00% (cache:52.9%),run44=0.00% (cache:49.6%),run45=0.00% (cache:54.9%),run46=0.00% (cache:48.2%),run47=0.00% (cache:39.4%),run48=0.00% (cache:53.8%),run49=0.00% (cache:52.4%),run50=0.00% (cache:53.9%)
tOptSuccessRate;run0=N/A,run1=N/A,run2=N/A,run3=N/A,run4=N/A,run5=N/A,run6=N/A,run7=N/A,run8=N/A,run9=N/A,run10=N/A,run11=N/A,run12=N/A,run13=N/A,run14=N/A,run15=N/A,run16=N/A,run17=N/A,run18=N/A,run19=N/A,run20=N/A,run21=N/A,run22=N/A,run23=N/A,run24=N/A,run25=N/A,run26=N/A,run27=N/A,run28=N/A,run29=N/A,run30=N/A,run31=N/A,run32=N/A,run33=N/A,run34=N/A,run35=N/A,run36=N/A,run37=N/A,run38=N/A,run39=N/A,run40=N/A,run41=N/A,run42=N/A,run43=N/A,run44=N/A,run45=N/A,run46=N/A,run47=N/A,run48=N/A,run49=N/A,run50=N/A

iter;weibull_k_run0;weibull_k_run1;weibull_k_run2;weibull_k_run3;weibull_k_run4;weibull_k_run5;weibull_k_run6;weibull_k_run7;weibull_k_run8;weibull_k_run9;weibull_k_run10;weibull_k_run11;weibull_k_run12;weibull_k_run13;weibull_k_run14;weibull_k_run15;weibull_k_run16;weibull_k_run17;weibull_k_run18;weibull_k_run19;weibull_k_run20;weibull_k_run21;weibull_k_run22;weibull_k_run23;weibull_k_run24;weibull_k_run25;weibull_k_run26;weibull_k_run27;weibull_k_run28;weibull_k_run29;weibull_k_run30;weibull_k_run31;weibull_k_run32;weibull_k_run33;weibull_k_run34;weibull_k_run35;weibull_k_run36;weibull_k_run37;weibull_k_run38;weibull_k_run39;weibull_k_run40;weibull_k_run41;weibull_k_run42;weibull_k_run43;weibull_k_run44;weibull_k_run45;weibull_k_run46;weibull_k_run47;weibull_k_run48;weibull_k_run49;weibull_k_run50;min;p10;q1;median;q3;p90;max;mean
0;6.4;6.1;6.3;5.6;6.0;5.6;6.0;5.7;5.7;4.9;5.7;6.8;5.7;5.6;5.8;7.0;6.9;6.6;5.3;6.3;5.4;6.3;5.8;5.7;5.7;6.4;6.0;6.4;5.9;5.8;5.3;6.4;5.6;6.4;6.2;5.2;6.0;7.4;6.0;6.3;6.2;6.0;5.8;6.3;6.3;5.3;5.6;5.4;6.3;6.4;5.9;4.9;5.4;5.7;6.0;6.3;6.4;7.4;6.0
1;5.2;6.0;5.3;5.8;5.6;6.0;5.5;6.2;5.4;5.4;5.9;6.2;6.0;6.3;6.5;5.5;5.8;6.0;5.3;6.5;5.4;6.4;5.3;6.0;5.7;5.3;6.3;5.5;5.9;5.4;6.1;5.3;5.8;5.7;6.3;6.0;6.1;6.2;5.9;6.8;6.8;6.9;5.6;5.3;6.1;7.1;5.8;5.7;5.2;5.8;5.9;5.2;5.3;5.5;5.9;6.1;6.5;7.1;5.9
2;5.6;5.7;5.9;5.8;5.8;5.5;6.7;6.5;5.5;6.1;5.9;5.4;5.4;5.9;5.3;6.3;6.1;5.5;6.3;5.5;7.0;6.8;6.0;5.6;5.6;5.9;5.7;6.7;6.2;6.7;6.2;5.9;5.9;6.7;5.8;5.4;5.6;6.1;5.6;6.1;6.3;5.7;5.6;5.7;5.2;6.0;5.9;5.5;6.9;5.5;6.2;5.2;5.5;5.6;5.9;6.2;6.7;7.0;5.9
3;5.3;5.6;5.7;5.5;6.3;5.6;6.3;5.2;5.9;6.1;6.3;5.9;6.1;5.3;6.8;5.2;5.4;5.9;7.2;6.6;5.7;5.8;6.6;5.9;6.0;5.9;5.8;6.1;6.1;6.1;5.7;6.1;5.6;5.6;6.7;6.4;6.2;5.4;6.1;6.0;5.5;6.3;5.3;5.1;5.8;7.2;6.3;5.7;6.5;5.6;5.8;5.1;5.3;5.6;5.9;6.2;6.6;7.2;6.0
4;5.5;5.8;6.2;6.3;5.7;6.4;5.4;5.6;6.1;5.9;5.4;6.1;5.5;5.6;6.2;6.0;6.0;5.8;5.3;6.3;6.8;6.2;5.5;5.9;6.6;5.7;5.7;5.7;5.9;5.9;5.1;5.3;5.7;5.6;5.9;5.8;6.0;5.4;6.0;5.6;6.0;5.5;5.4;5.7;6.8;5.4;5.3;6.0;5.4;6.2;6.6;5.1;5.4;5.5;5.8;6.1;6.3;6.8;5.8
5;6.0;6.1;6.2;6.3;5.9;6.2;5.7;6.0;6.3;5.9;5.7;5.5;5.7;5.9;6.2;6.2;5.5;5.6;6.5;5.4;6.0;5.5;5.4;6.1;7.1;5.5;5.5;6.1;5.5;5.5;6.2;6.4;5.1;5.6;5.4;5.9;6.1;6.1;6.2;5.8;5.5;6.4;6.5;5.7;5.8;5.8;6.5;5.8;5.7;6.1;5.8;5.1;5.5;5.6;5.9;6.2;6.4;7.1;5.9
6;5.7;5.7;6.1;5.7;6.2;6.1;5.4;6.4;5.5;7.0;5.6;5.8;5.5;6.5;5.8;6.9;6.0;6.4;6.2;6.3;5.7;6.2;6.5;5.3;5.5;5.0;5.2;5.3;6.7;6.6;5.8;5.2;5.4;5.7;6.0;5.6;7.0;6.2;5.5;5.9;6.0;6.9;5.8;5.9;5.5;6.0;5.5;5.5;5.8;5.1;6.0;5.0;5.3;5.5;5.8;6.2;6.6;7.0;5.9
7;6.4;6.2;6.7;5.8;6.4;5.4;5.5;6.4;6.0;5.7;6.6;5.8;5.4;5.1;5.2;6.2;5.8;5.6;5.7;6.1;6.1;5.8;5.4;6.0;5.3;6.1;6.6;6.6;6.0;5.8;6.1;5.0;5.8;5.3;6.4;6.4;6.3;5.9;5.3;6.3;5.9;5.6;5.0;6.1;5.8;6.8;5.5;6.2;5.6;5.5;5.5;5.0;5.3;5.5;5.8;6.2;6.4;6.8;5.9
8;5.9;6.2;6.0;5.8;5.5;6.0;6.7;5.8;6.1;5.7;6.2;7.1;5.7;6.6;5.4;5.5;6.4;5.6;6.2;5.5;5.5;7.2;5.3;5.8;6.4;6.5;5.9;5.5;5.6;6.6;5.6;6.2;6.0;5.7;6.6;5.6;5.3;6.1;5.9;6.7;5.6;6.7;6.9;5.6;5.7;5.9;6.0;6.0;5.1;6.4;5.3;5.1;5.5;5.6;5.9;6.3;6.7;7.2;6.0
9;5.2;5.7;6.0;5.6;6.3;5.7;6.0;6.0;6.4;6.1;5.4;5.8;5.9;5.7;6.2;5.7;5.8;5.9;6.7;5.6;5.9;5.7;6.6;5.9;5.5;5.5;5.9;5.7;5.6;6.2;5.4;6.0;6.2;5.9;5.4;6.0;6.3;6.7;5.6;6.1;6.2;5.6;6.5;5.6;5.7;6.0;5.5;6.0;5.8;5.2;5.8;5.2;5.5;5.6;5.9;6.0;6.3;6.7;5.9
10;5.8;5.5;6.0;5.7;5.8;5.7;6.2;5.9;6.7;5.6;5.3;6.3;5.4;5.8;5.6;5.5;5.7;5.4;5.8;7.0;6.2;6.0;5.9;6.1;5.5;5.7;6.0;5.6;6.2;5.9;5.9;6.7;6.4;6.1;5.6;6.0;5.8;5.8;5.3;5.6;5.7;5.7;6.0;5.3;6.0;6.3;6.8;5.7;6.3;5.5;6.6;5.3;5.5;5.6;5.8;6.1;6.4;7.0;5.9
11;5.6;6.0;5.3;5.4;6.4;7.6;5.7;5.6;5.4;6.0;5.4;6.0;5.9;5.8;6.1;6.0;5.2;5.3;5.7;6.7;5.3;5.7;6.5;6.0;5.6;5.6;5.8;5.7;6.1;5.5;5.9;6.2;5.8;5.5;6.4;6.3;5.8;6.3;6.5;6.1;5.9;5.0;5.9;6.4;5.7;5.4;5.8;5.5;5.4;6.6;5.5;5.0;5.4;5.5;5.8;6.1;6.4;7.6;5.9
12;6.1;6.0;6.0;6.5;5.7;5.7;5.8;5.8;6.1;5.7;5.7;6.3;5.7;5.8;5.6;5.9;5.5;6.2;6.0;5.8;5.4;6.0;6.2;5.5;5.2;5.8;6.2;5.8;5.4;5.8;6.2;5.8;5.5;5.9;5.8;5.6;6.1;6.0;6.0;5.9;5.7;5.8;5.5;6.2;6.2;6.0;6.9;5.4;5.6;6.0;5.6;5.2;5.5;5.7;5.8;6.0;6.2;6.9;5.9
13;6.1;5.6;6.1;6.4;6.1;6.6;5.7;6.2;5.9;5.6;6.4;6.0;5.7;5.6;5.3;6.0;6.2;6.1;5.2;6.1;6.3;5.4;5.8;5.5;6.3;5.6;5.8;6.0;7.3;5.9;5.7;5.2;5.7;5.9;6.0;6.2;6.5;6.1;6.3;5.6;5.6;5.6;6.2;6.1;6.1;5.7;6.1;5.6;6.1;6.9;6.7;5.2;5.6;5.6;6.0;6.2;6.4;7.3;6.0
14;4.7;5.0;4.6;4.8;5.6;5.1;5.1;4.9;4.7;4.9;4.7;4.8;4.8;4.8;4.9;5.4;4.8;4.8;5.1;5.6;4.7;4.6;4.7;4.9;5.1;5.0;5.0;4.9;4.9;4.7;5.2;5.4;5.2;5.5;5.1;5.3;5.3;5.5;5.3;6.1;5.1;5.4;4.7;5.3;4.9;5.1;5.1;4.9;4.6;5.5;4.6;4.6;4.7;4.8;5.0;5.2;5.5;6.1;5.0
15;5.8;5.0;5.2;5.0;4.9;4.9;4.8;6.0;5.1;5.1;5.7;4.8;5.3;5.9;5.4;5.4;5.2;4.8;5.2;5.3;5.2;4.8;4.4;5.1;4.8;5.2;5.0;4.9;5.5;4.3;4.9;5.2;5.5;5.1;5.2;5.3;5.4;5.2;5.1;4.7;4.8;5.6;4.7;5.3;4.9;5.4;5.0;4.9;4.9;5.8;5.2;4.3;4.8;4.9;5.1;5.3;5.6;6.0;5.1
16;4.7;5.0;5.5;5.2;5.1;4.9;5.1;5.2;5.7;5.0;4.8;5.2;5.2;5.4;5.2;4.9;4.9;5.3;5.2;5.1;4.9;4.5;4.9;6.0;4.8;5.1;5.1;4.7;5.1;5.1;4.9;5.4;5.6;5.4;5.0;5.3;4.8;5.6;5.1;5.5;6.5;5.4;5.0;5.0;4.6;5.1;5.8;5.5;4.7;5.5;4.8;4.5;4.8;4.9;5.1;5.4;5.6;6.5;5.2
17;5.1;5.7;5.1;5.2;5.5;5.2;5.5;5.6;5.2;5.3;5.5;4.7;5.4;5.3;5.7;5.7;5.3;4.8;5.4;4.8;5.7;5.3;5.4;5.5;5.5;5.5;5.0;4.9;5.6;5.3;5.6;5.8;5.1;5.4;5.2;5.3;5.7;5.1;5.0;5.0;5.6;5.3;5.2;5.7;5.1;5.4;5.5;5.1;5.0;5.6;5.7;4.7;5.0;5.1;5.3;5.6;5.7;5.8;5.3
18;5.7;5.5;5.4;5.9;5.6;5.5;5.1;6.0;5.4;5.7;5.3;5.4;6.0;5.8;5.6;5.8;5.5;5.5;5.0;5.4;6.4;5.4;5.8;5.4;5.8;5.8;5.8;4.6;6.2;5.6;5.1;5.7;6.1;5.5;4.7;5.6;5.3;5.2;5.9;5.7;5.7;5.3;5.2;5.1;5.6;5.8;5.3;5.6;5.4;5.9;5.4;4.6;5.1;5.4;5.6;5.8;5.9;6.4;5.5
19;6.0;5.1;5.8;6.6;5.9;5.4;5.8;5.5;5.9;5.6;5.7;5.8;6.1;6.2;6.2;5.5;5.8;5.8;6.2;5.7;6.3;5.6;5.4;6.1;7.0;5.2;6.2;6.0;5.9;5.8;6.2;5.6;6.0;5.9;5.6;6.1;6.1;5.5;5.6;5.6;5.7;5.9;5.6;5.6;5.9;6.4;5.5;5.0;5.4;5.7;5.6;5.0;5.4;5.6;5.8;6.0;6.2;7.0;5.8
20;6.7;5.6;5.9;5.6;6.0;6.1;7.0;6.0;5.7;5.9;6.4;6.6;6.0;5.8;5.9;6.1;6.5;5.8;5.8;6.8;7.0;6.1;6.6;5.8;5.9;7.1;5.9;5.4;5.6;7.7;6.3;7.4;7.5;6.4;5.7;6.2;6.2;6.2;5.7;5.7;5.7;6.2;6.5;5.6;6.3;5.8;7.2;6.5;5.1;5.6;6.0;5.1;5.6;5.8;6.0;6.5;7.0;7.7;6.2
21;7.4;6.0;6.5;5.7;6.4;6.2;6.4;7.3;6.5;6.0;6.3;8.0;6.6;6.0;7.4;6.5;6.0;6.0;8.3;6.5;6.4;5.7;6.3;5.5;8.1;6.3;6.1;6.0;7.5;7.0;6.3;6.4;7.7;6.1;5.9;7.2;6.2;7.5;6.3;7.2;6.0;7.6;6.2;5.9;6.5;6.6;5.9;5.8;6.2;6.9;6.6;5.5;5.9;6.0;6.4;7.0;7.5;8.3;6.5
22;7.6;6.7;7.2;7.6;7.4;8.0;7.9;6.3;6.8;7.4;8.2;8.6;7.4;7.8;6.7;6.9;7.0;7.1;6.3;7.0;5.6;6.4;8.6;6.0;7.8;9.4;6.7;6.6;7.8;7.6;6.7;6.8;8.7;6.6;7.2;5.7;8.7;6.6;6.2;6.5;6.8;6.2;6.4;7.1;6.8;7.2;7.3;6.4;7.3;9.4;7.4;5.6;6.3;6.6;7.1;7.6;8.6;9.4;7.2
