param;value
filename;./inputData/Teresina200n.car
base_seed;1
nRuns;51
iterations;100
antsN;120
stagnation;30
favorites;60
gbPeriod;0
rhoNodes;0.1
rhoCars;0.1
rhoPass;0.1
alphaNodes;1.5
alphaCars;1.5
alphaPass;1.5
betaNodes;1.1
betaCars;1.1
betaPass;1.1
maxMinCars;0
maxMinNodes;0
pBestCars;0
useTBAS;0
sampleCars;1
enforceNoRerent;1
returnFactorCars;0
epsilonEtaCars;1e-06
smGammaCars;0.7
restartTargetCars;mid
exploreCars;0
exploreItersCars;20
exploreRhoMultCars;2
policyQ0;0.1
adaptiveQ0;0
q0Start;0.2
q0End;0.9
eliteKAnts;6
lsTopW;0
lsQuality;High
useReinsertion;0
reinsertionMaxPasses;5
dpCacheCapacity;5000
dpMaxSegmentLenOffset;5
intensifierEnabled;0
intensifierMaxStagnationIterations;3
intensifierResetPheromonesCount;2
intensifierPheromoneReductionGamma;0.3
intensifierArchiveAndResetBest;1
ablationDisableAntDepositsDuringIntensification;0
ablationResetPheromonesOnIntensifierActivation;0
ablationIntensifierOnlyNoAnts;0
ablationIntensifierOnlyRandomInitialTour;0
runSeeds;run0=9176377229071207081,run1=76241568449944305,run2=11569656429252920891,run3=8006770736520076435,run4=10222608011239175760,run5=83674907983555125,run6=16633518659454552880,run7=3348662810425028053,run8=1625020296661546126,run9=8722260422266777814,run10=18422523289718600251,run11=12120595211417451604,run12=11180516292616150398,run13=13235578871255005297,run14=17784125318686945540,run15=15956506419893335137,run16=2899130862535483918,run17=11850605890185619915,run18=13353388233111958045,run19=6644193456908987648,run20=9748498986499756733,run21=9610614758425770644,run22=16467222360164019310,run23=11726302834367551336,run24=8896860786397106362,run25=6737285527070588895,run26=11634350522773239934,run27=7808547232002136844,run28=3287009989320200796,run29=8484872300069380217,run30=8138020970177873692,run31=16735953543485209995,run32=957827445528146549,run33=9178821638437730898,run34=2354512119315649564,run35=10160966691791677292,run36=27474500062045820,run37=7844575079918988844,run38=15524044195614787644,run39=4980590106503615414,run40=3943098024137922559,run41=141425323448007506,run42=16001952662412044218,run43=6069959457317431616,run44=2033442876187297925,run45=7223543130371895193,run46=4350234967155519396,run47=10524526614539617298,run48=3004527168784687515,run49=3975454624479931874,run50=1666912681748276242
stagnationEvents;run0=0,run1=0,run2=0,run3=0,run4=0,run5=0,run6=0,run7=0,run8=0,run9=0,run10=0,run11=0,run12=0,run13=0,run14=0,run15=0,run16=0,run17=0,run18=0,run19=0,run20=0,run21=0,run22=0,run23=0,run24=1,run25=0,run26=0,run27=0,run28=0,run29=0,run30=0,run31=0,run32=0,run33=0,run34=0,run35=0,run36=0,run37=0,run38=0,run39=0,run40=0,run41=0,run42=0,run43=0,run44=0,run45=0,run46=0,run47=0,run48=0,run49=0,run50=0
lkCalls;run0=0,run1=0,run2=0,run3=0,run4=0,run5=0,run6=0,run7=0,run8=0,run9=0,run10=0,run11=0,run12=0,run13=0,run14=0,run15=0,run16=0,run17=0,run18=0,run19=0,run20=0,run21=0,run22=0,run23=0,run24=1,run25=0,run26=0,run27=0,run28=0,run29=0,run30=0,run31=0,run32=0,run33=0,run34=0,run35=0,run36=0,run37=0,run38=0,run39=0,run40=0,run41=0,run42=0,run43=0,run44=0,run45=0,run46=0,run47=0,run48=0,run49=0,run50=0
lkSuccess;run0=0,run1=0,run2=0,run3=0,run4=0,run5=0,run6=0,run7=0,run8=0,run9=0,run10=0,run11=0,run12=0,run13=0,run14=0,run15=0,run16=0,run17=0,run18=0,run19=0,run20=0,run21=0,run22=0,run23=0,run24=0,run25=0,run26=0,run27=0,run28=0,run29=0,run30=0,run31=0,run32=0,run33=0,run34=0,run35=0,run36=0,run37=0,run38=0,run39=0,run40=0,run41=0,run42=0,run43=0,run44=0,run45=0,run46=0,run47=0,run48=0,run49=0,run50=0
tOptCalls;run0=0,run1=0,run2=0,run3=0,run4=0,run5=0,run6=0,run7=0,run8=0,run9=0,run10=0,run11=0,run12=0,run13=0,run14=0,run15=0,run16=0,run17=0,run18=0,run19=0,run20=0,run21=0,run22=0,run23=0,run24=0,run25=0,run26=0,run27=0,run28=0,run29=0,run30=0,run31=0,run32=0,run33=0,run34=0,run35=0,run36=0,run37=0,run38=0,run39=0,run40=0,run41=0,run42=0,run43=0,run44=0,run45=0,run46=0,run47=0,run48=0,run49=0,run50=0
tOptSuccess;run0=0,run1=0,run2=0,run3=0,run4=0,run5=0,run6=0,run7=0,run8=0,run9=0,run10=0,run11=0,run12=0,run13=0,run14=0,run15=0,run16=0,run17=0,run18=0,run19=0,run20=0,run21=0,run22=0,run23=0,run24=0,run25=0,run26=0,run27=0,run28=0,run29=0,run30=0,run31=0,run32=0,run33=0,run34=0,run35=0,run36=0,run37=0,run38=0,run39=0,run40=0,run41=0,run42=0,run43=0,run44=0,run45=0,run46=0,run47=0,run48=0,run49=0,run50=0
kickCalls;run0=0,run1=0,run2=0,run3=0,run4=0,run5=0,run6=0,run7=0,run8=0,run9=0,run10=0,run11=0,run12=0,run13=0,run14=0,run15=0,run16=0,run17=0,run18=0,run19=0,run20=0,run21=0,run22=0,run23=0,run24=1,run25=0,run26=0,run27=0,run28=0,run29=0,run30=0,run31=0,run32=0,run33=0,run34=0,run35=0,run36=0,run37=0,run38=0,run39=0,run40=0,run41=0,run42=0,run43=0,run44=0,run45=0,run46=0,run47=0,run48=0,run49=0,run50=0
kickSuccess;run0=0,run1=0,run2=0,run3=0,run4=0,run5=0,run6=0,run7=0,run8=0,run9=0,run10=0,run11=0,run12=0,run13=0,run14=0,run15=0,run16=0,run17=0,run18=0,run19=0,run20=0,run21=0,run22=0,run23=0,run24=0,run25=0,run26=0,run27=0,run28=0,run29=0,run30=0,run31=0,run32=0,run33=0,run34=0,run35=0,run36=0,run37=0,run38=0,run39=0,run40=0,run41=0,run42=0,run43=0,run44=0,run45=0,run46=0,run47=0,run48=0,run49=0,run50=0
cacheEvalHitRate;run0=0.00%,run1=0.00%,run2=0.00%,run3=0.00%,run4=0.00%,run5=0.00%,run6=0.00%,run7=0.00%,run8=0.00%,run9=0.00%,run10=0.00%,run11=0.00%,run12=0.00%,run13=0.00%,run14=0.00%,run15=0.00%,run16=0.00%,run17=0.00%,run18=0.00%,run19=0.00%,run20=0.00%,run21=0.00%,run22=0.00%,run23=0.00%,run24=0.00%,run25=0.00%,run26=0.00%,run27=0.00%,run28=0.00%,run29=0.00%,run30=0.00%,run31=0.00%,run32=0.00%,run33=0.00%,run34=0.00%,run35=0.00%,run36=0.00%,run37=0.00%,run38=0.00%,run39=0.00%,run40=0.00%,run41=0.00%,run42=0.00%,run43=0.00%,run44=0.00%,run45=0.00%,run46=0.00%,run47=0.00%,run48=0.00%,run49=0.00%,run50=0.00%
cacheReasHitRate;run0=37.30%,run1=37.30%,run2=37.30%,run3=37.30%,run4=37.30%,run5=37.30%,run6=37.30%,run7=37.30%,run8=37.30%,run9=37.30%,run10=37.30%,run11=37.30%,run12=37.30%,run13=37.30%,run14=37.30%,run15=37.30%,run16=37.30%,run17=37.30%,run18=37.30%,run19=37.30%,run20=37.30%,run21=37.30%,run22=37.30%,run23=37.30%,run24=37.45%,run25=37.30%,run26=37.30%,run27=37.30%,run28=37.30%,run29=37.30%,run30=37.30%,run31=37.30%,run32=37.30%,run33=37.30%,run34=37.30%,run35=37.30%,run36=37.30%,run37=37.30%,run38=37.30%,run39=37.43%,run40=37.30%,run41=37.30%,run42=37.30%,run43=37.57%,run44=37.30%,run45=37.30%,run46=37.43%,run47=37.30%,run48=37.30%,run49=37.30%,run50=37.30%
lkSuccessRate;run0=N/A,run1=N/A,run2=N/A,run3=N/A,run4=N/A,run5=N/A,run6=N/A,run7=N/A,run8=N/A,run9=N/A,run10=N/A,run11=N/A,run12=N/A,run13=N/A,run14=N/A,run15=N/A,run16=N/A,run17=N/A,run18=N/A,run19=N/A,run20=N/A,run21=N/A,run22=N/A,run23=N/A,run24=0.00% (cache:0.0%),run25=N/A,run26=N/A,run27=N/A,run28=N/A,run29=N/A,run30=N/A,run31=N/A,run32=N/A,run33=N/A,run34=N/A,run35=N/A,run36=N/A,run37=N/A,run38=N/A,run39=N/A,run40=N/A,run41=N/A,run42=N/A,run43=N/A,run44=N/A,run45=N/A,run46=N/A,run47=N/A,run48=N/A,run49=N/A,run50=N/A
tOptSuccessRate;run0=N/A,run1=N/A,run2=N/A,run3=N/A,run4=N/A,run5=N/A,run6=N/A,run7=N/A,run8=N/A,run9=N/A,run10=N/A,run11=N/A,run12=N/A,run13=N/A,run14=N/A,run15=N/A,run16=N/A,run17=N/A,run18=N/A,run19=N/A,run20=N/A,run21=N/A,run22=N/A,run23=N/A,run24=N/A,run25=N/A,run26=N/A,run27=N/A,run28=N/A,run29=N/A,run30=N/A,run31=N/A,run32=N/A,run33=N/A,run34=N/A,run35=N/A,run36=N/A,run37=N/A,run38=N/A,run39=N/A,run40=N/A,run41=N/A,run42=N/A,run43=N/A,run44=N/A,run45=N/A,run46=N/A,run47=N/A,run48=N/A,run49=N/A,run50=N/A

iter;time_ms_mean;time_ms_min;time_ms_max;run0;run1;run2;run3;run4;run5;run6;run7;run8;run9;run10;run11;run12;run13;run14;run15;run16;run17;run18;run19;run20;run21;run22;run23;run24;run25;run26;run27;run28;run29;run30;run31;run32;run33;run34;run35;run36;run37;run38;run39;run40;run41;run42;run43;run44;run45;run46;run47;run48;run49;run50;min;p10;q1;median;q3;p90;max;mean
0;23512.6;6585.1;63316.4;3670.0;3070.0;3394.0;3188.0;3489.0;3184.0;3840.0;3305.0;3463.0;3655.0;3365.0;3410.0;3580.0;3205.0;3363.0;3477.0;3427.0;3453.0;3606.0;3284.0;3493.0;3394.0;3361.0;3211.0;3508.0;3648.0;3526.0;3463.0;3410.0;3490.0;3297.0;3527.0;3359.0;3339.0;3580.0;3212.0;3414.0;3158.0;3331.0;3610.0;3258.0;3644.0;3335.0;3553.0;3289.0;3697.0;3185.0;3132.0;3612.0;3674.0;3686.0;3070.0;3188.0;3301.0;3414.0;3566.5;3655.0;3840.0;3427.9
1;44674.2;18166.0;106103.3;3277.0;3070.0;3394.0;3188.0;3361.0;3184.0;3083.0;3088.0;3163.0;3507.0;3131.0;3218.0;3210.0;3205.0;3363.0;3477.0;3335.0;3211.0;3318.0;3143.0;3493.0;3206.0;3361.0;3211.0;3508.0;3543.0;3417.0;3369.0;3212.0;3155.0;3297.0;3446.0;3250.0;3154.0;3378.0;3212.0;3319.0;3158.0;3173.0;3507.0;3258.0;3460.0;3335.0;3196.0;3289.0;3133.0;3185.0;3132.0;3368.0;3227.0;3679.0;3070.0;3133.0;3184.5;3250.0;3368.5;3493.0;3679.0;3285.4
2;66143.4;36707.2;122816.1;3216.0;3070.0;3394.0;3188.0;3361.0;3085.0;3083.0;3088.0;3163.0;2957.0;3131.0;3218.0;3210.0;3205.0;3145.0;3308.0;3213.0;3211.0;3318.0;3143.0;3340.0;3206.0;3169.0;3211.0;3016.0;3372.0;3397.0;3256.0;3212.0;3155.0;3197.0;3231.0;3250.0;3154.0;3255.0;3212.0;3297.0;3158.0;3173.0;3234.0;3258.0;3460.0;3335.0;3196.0;3202.0;3133.0;3185.0;3132.0;3368.0;3227.0;3679.0;2957.0;3088.0;3156.5;3211.0;3257.0;3368.0;3679.0;3223.1
3;89652.6;55320.4;151026.6;3137.0;3070.0;3394.0;3188.0;3192.0;3085.0;3083.0;3088.0;3163.0;2957.0;3131.0;3211.0;3210.0;3205.0;3145.0;2969.0;3213.0;3211.0;3149.0;3143.0;3340.0;3206.0;3077.0;3211.0;3016.0;3372.0;3397.0;3256.0;3212.0;3155.0;3113.0;3231.0;3157.0;3154.0;3255.0;3212.0;3153.0;3158.0;3173.0;3234.0;3258.0;3460.0;3335.0;3196.0;2943.0;3133.0;3185.0;3132.0;3368.0;3227.0;3109.0;2943.0;3077.0;3132.5;3185.0;3220.0;3340.0;3460.0;3183.8
4;112826.3;78423.4;174815.7;3137.0;3070.0;3188.0;3188.0;3192.0;3085.0;3083.0;3088.0;3163.0;2957.0;3131.0;3211.0;3210.0;3205.0;3145.0;2969.0;3213.0;3211.0;3149.0;3143.0;3188.0;3206.0;3077.0;3211.0;3016.0;3372.0;3121.0;3256.0;2935.0;3155.0;3113.0;3032.0;3157.0;3154.0;3252.0;3177.0;3153.0;3138.0;3173.0;3167.0;3258.0;3460.0;3219.0;3196.0;2943.0;3133.0;3185.0;3132.0;3176.0;3227.0;3109.0;2935.0;3032.0;3117.0;3157.0;3205.5;3227.0;3460.0;3153.5
5;136358.4;90871.8;230730.1;3137.0;3070.0;3188.0;3188.0;3192.0;3085.0;3067.0;3088.0;3163.0;2957.0;3131.0;3202.0;3210.0;3205.0;2878.0;2969.0;3204.0;3211.0;3149.0;3143.0;3188.0;3206.0;3077.0;3211.0;3016.0;3372.0;3121.0;2944.0;2935.0;3155.0;3113.0;3032.0;3157.0;3154.0;3252.0;3177.0;3153.0;3138.0;2975.0;3167.0;3258.0;3288.0;3219.0;3196.0;2943.0;3110.0;3185.0;3132.0;3176.0;3227.0;3109.0;2878.0;2969.0;3086.5;3154.0;3199.0;3219.0;3372.0;3133.8
6;160015.1;114015.1;252517.5;3137.0;3070.0;3188.0;3188.0;3192.0;3085.0;3067.0;3088.0;3163.0;2957.0;3131.0;3202.0;3149.0;3205.0;2878.0;2969.0;3204.0;3211.0;3149.0;3143.0;3188.0;3167.0;3077.0;3211.0;3016.0;3259.0;3121.0;2944.0;2935.0;3155.0;3113.0;3032.0;3157.0;3154.0;3252.0;3108.0;3153.0;3138.0;2975.0;3167.0;3258.0;3288.0;3219.0;3196.0;2943.0;3110.0;3185.0;3132.0;3176.0;3227.0;3109.0;2878.0;2969.0;3086.5;3149.0;3190.0;3219.0;3288.0;3128.3
7;185682.3;133069.1;272221.8;3004.0;3070.0;3188.0;3188.0;3171.0;3061.0;3067.0;3088.0;3163.0;2957.0;3092.0;3202.0;3149.0;3205.0;2878.0;2969.0;3204.0;3211.0;3149.0;3143.0;3188.0;3167.0;3077.0;3211.0;3016.0;3020.0;3121.0;2944.0;2935.0;3155.0;3113.0;3032.0;3157.0;3154.0;3158.0;3108.0;3153.0;3138.0;2975.0;3167.0;3258.0;3288.0;3142.0;3196.0;2943.0;3110.0;3185.0;3132.0;3176.0;3227.0;3109.0;2878.0;2969.0;3068.5;3143.0;3180.5;3205.0;3288.0;3116.0
8;207656.6;147709.7;290427.2;3004.0;3070.0;3188.0;3151.0;3171.0;2864.0;3067.0;3088.0;3163.0;2957.0;3092.0;3202.0;3149.0;2925.0;2878.0;2969.0;3204.0;3211.0;3149.0;3143.0;3188.0;3167.0;3077.0;3211.0;3016.0;3020.0;3121.0;2944.0;2935.0;3155.0;3113.0;3032.0;3157.0;3154.0;3158.0;3108.0;3153.0;3138.0;2975.0;3085.0;3136.0;3261.0;3142.0;3196.0;2943.0;3110.0;3185.0;3132.0;3176.0;3099.0;3109.0;2864.0;2944.0;3049.5;3132.0;3160.5;3196.0;3261.0;3098.8
9;229836.2;167519.3;331425.5;3004.0;3070.0;3188.0;3151.0;3171.0;2864.0;3067.0;3078.0;3163.0;2957.0;3092.0;3202.0;3149.0;2925.0;2878.0;2969.0;3204.0;3211.0;3149.0;2996.0;3188.0;3167.0;3077.0;3211.0;3016.0;3020.0;3121.0;2944.0;2935.0;3155.0;3113.0;3032.0;3071.0;3154.0;3158.0;3108.0;3050.0;3138.0;2975.0;3085.0;3136.0;3261.0;3142.0;3196.0;2943.0;3110.0;3101.0;3132.0;3176.0;3099.0;3109.0;2864.0;2944.0;3026.0;3109.0;3156.5;3196.0;3261.0;3090.4
10;254069.6;187939.1;351828.4;3004.0;3070.0;3188.0;3151.0;3171.0;2864.0;3067.0;3078.0;3163.0;2957.0;3092.0;3202.0;2794.0;2925.0;2878.0;2969.0;3204.0;3211.0;3130.0;2996.0;3188.0;3167.0;3077.0;3087.0;3016.0;3020.0;3121.0;2944.0;2935.0;3155.0;3113.0;3032.0;3071.0;3154.0;3002.0;3108.0;3050.0;3138.0;2975.0;3085.0;3136.0;3074.0;3142.0;3196.0;2943.0;3110.0;3101.0;3132.0;3176.0;3099.0;3109.0;2794.0;2943.0;3010.0;3092.0;3146.5;3188.0;3211.0;3073.9
11;275130.2;213693.6;380329.1;3004.0;3070.0;3037.0;3151.0;3171.0;2864.0;3067.0;3078.0;3013.0;2957.0;3092.0;3202.0;2794.0;2925.0;2878.0;2969.0;3204.0;3211.0;3130.0;2996.0;3184.0;3167.0;3077.0;3087.0;3016.0;3020.0;3121.0;2944.0;2935.0;3155.0;3113.0;3032.0;3071.0;3154.0;3002.0;3108.0;3050.0;3138.0;2975.0;3085.0;3136.0;3074.0;3142.0;3196.0;2943.0;2976.0;3101.0;3132.0;3176.0;3086.0;3109.0;2794.0;2943.0;3003.0;3078.0;3137.0;3176.0;3211.0;3065.1
12;298440.6;228065.7;400606.8;3004.0;3070.0;3037.0;3151.0;3171.0;2864.0;2910.0;3078.0;3013.0;2957.0;3092.0;3202.0;2794.0;2925.0;2878.0;2969.0;3149.0;3211.0;3130.0;2996.0;3184.0;3167.0;3077.0;3037.0;3016.0;3020.0;3121.0;2944.0;2935.0;3018.0;3113.0;3032.0;3071.0;3154.0;3002.0;3108.0;3050.0;3138.0;2975.0;3085.0;3136.0;3074.0;3142.0;3196.0;2943.0;2976.0;3090.0;3132.0;3176.0;3086.0;3109.0;2794.0;2935.0;2999.0;3074.0;3134.0;3171.0;3211.0;3057.0
13;319091.9;255394.6;416152.2;3004.0;3070.0;3037.0;3151.0;3171.0;2864.0;2910.0;3078.0;2876.0;2957.0;3092.0;3202.0;2794.0;2925.0;2878.0;2969.0;3149.0;3211.0;3015.0;2996.0;3184.0;3167.0;3077.0;3037.0;3016.0;3020.0;3121.0;2944.0;2935.0;3018.0;3113.0;3032.0;3071.0;3154.0;3002.0;3108.0;3050.0;3138.0;2975.0;3085.0;3136.0;3074.0;3142.0;3196.0;2943.0;2976.0;3090.0;3132.0;3121.0;3086.0;3109.0;2794.0;2925.0;2986.0;3071.0;3126.5;3167.0;3211.0;3051.0
14;340774.7;284035.5;437122.3;3004.0;3070.0;3037.0;3151.0;3171.0;2864.0;2910.0;3021.0;2876.0;2957.0;3092.0;3202.0;2794.0;2925.0;2878.0;2969.0;3149.0;3211.0;3015.0;2996.0;3096.0;3167.0;3077.0;3037.0;3016.0;3020.0;3121.0;2944.0;2935.0;3018.0;3113.0;3032.0;3071.0;3154.0;3002.0;3108.0;3050.0;3138.0;2975.0;3085.0;3136.0;3074.0;3142.0;3196.0;2943.0;2976.0;3090.0;3132.0;3121.0;3086.0;3109.0;2794.0;2925.0;2986.0;3070.0;3121.0;3154.0;3211.0;3048.2
