param;value
filename;./inputData/kroB150n.car
base_seed;1
nRuns;51
iterations;100
antsN;60
stagnation;50
favorites;60
gbPeriod;0
rhoNodes;0.1
rhoCars;0.1
rhoPass;0.1
alphaNodes;1.5
alphaCars;1.5
alphaPass;1.5
betaNodes;1.1
betaCars;1.1
betaPass;1.1
maxMinCars;0
maxMinNodes;0
pBestCars;0
useTBAS;0
sampleCars;1
enforceNoRerent;1
returnFactorCars;0
epsilonEtaCars;1e-06
smGammaCars;0.7
restartTargetCars;mid
exploreCars;0
exploreItersCars;20
exploreRhoMultCars;2
policyQ0;0.1
adaptiveQ0;0
q0Start;0.2
q0End;0.9
eliteKAnts;6
lsTopW;0
lsQuality;High
useReinsertion;0
reinsertionMaxPasses;5
dpCacheCapacity;5000
dpMaxSegmentLenOffset;5
intensifierEnabled;1
intensifierMaxStagnationIterations;3
intensifierResetPheromonesCount;2
intensifierPheromoneReductionGamma;0.3
intensifierArchiveAndResetBest;1
ablationDisableAntDepositsDuringIntensification;0
ablationResetPheromonesOnIntensifierActivation;0
ablationIntensifierOnlyNoAnts;0
ablationIntensifierOnlyRandomInitialTour;0
runSeeds;run0=9176377229071207081,run1=76241568449944305,run2=11569656429252920891,run3=8006770736520076435,run4=10222608011239175760,run5=83674907983555125,run6=16633518659454552880,run7=3348662810425028053,run8=1625020296661546126,run9=8722260422266777814,run10=18422523289718600251,run11=12120595211417451604,run12=11180516292616150398,run13=13235578871255005297,run14=17784125318686945540,run15=15956506419893335137,run16=2899130862535483918,run17=11850605890185619915,run18=13353388233111958045,run19=6644193456908987648,run20=9748498986499756733,run21=9610614758425770644,run22=16467222360164019310,run23=11726302834367551336,run24=8896860786397106362,run25=6737285527070588895,run26=11634350522773239934,run27=7808547232002136844,run28=3287009989320200796,run29=8484872300069380217,run30=8138020970177873692,run31=16735953543485209995,run32=957827445528146549,run33=9178821638437730898,run34=2354512119315649564,run35=10160966691791677292,run36=27474500062045820,run37=7844575079918988844,run38=15524044195614787644,run39=4980590106503615414,run40=3943098024137922559,run41=141425323448007506,run42=16001952662412044218,run43=6069959457317431616,run44=2033442876187297925,run45=7223543130371895193,run46=4350234967155519396,run47=10524526614539617298,run48=3004527168784687515,run49=3975454624479931874,run50=1666912681748276242
stagnationEvents;run0=1,run1=1,run2=1,run3=1,run4=1,run5=1,run6=1,run7=1,run8=1,run9=1,run10=1,run11=1,run12=1,run13=1,run14=1,run15=1,run16=1,run17=1,run18=1,run19=1,run20=1,run21=1,run22=1,run23=1,run24=1,run25=1,run26=1,run27=1,run28=1,run29=1,run30=1,run31=1,run32=1,run33=1,run34=1,run35=1,run36=1,run37=1,run38=1,run39=1,run40=1,run41=1,run42=1,run43=1,run44=1,run45=1,run46=1,run47=1,run48=1,run49=1,run50=1
lkCalls;run0=1,run1=1,run2=1,run3=1,run4=1,run5=1,run6=1,run7=1,run8=1,run9=1,run10=1,run11=1,run12=1,run13=1,run14=1,run15=1,run16=1,run17=1,run18=1,run19=1,run20=1,run21=1,run22=1,run23=1,run24=1,run25=1,run26=1,run27=1,run28=1,run29=1,run30=1,run31=1,run32=1,run33=1,run34=1,run35=1,run36=1,run37=1,run38=1,run39=1,run40=1,run41=1,run42=1,run43=1,run44=1,run45=1,run46=1,run47=1,run48=1,run49=1,run50=1
lkSuccess;run0=0,run1=0,run2=0,run3=0,run4=0,run5=0,run6=0,run7=0,run8=0,run9=0,run10=0,run11=0,run12=0,run13=0,run14=0,run15=0,run16=0,run17=0,run18=0,run19=0,run20=0,run21=0,run22=0,run23=0,run24=0,run25=0,run26=0,run27=0,run28=0,run29=0,run30=0,run31=0,run32=0,run33=0,run34=0,run35=0,run36=0,run37=0,run38=0,run39=0,run40=0,run41=0,run42=0,run43=0,run44=0,run45=0,run46=0,run47=0,run48=0,run49=0,run50=0
tOptCalls;run0=0,run1=0,run2=0,run3=0,run4=0,run5=0,run6=0,run7=0,run8=0,run9=0,run10=0,run11=0,run12=0,run13=0,run14=0,run15=0,run16=0,run17=0,run18=0,run19=0,run20=0,run21=0,run22=0,run23=0,run24=0,run25=0,run26=0,run27=0,run28=0,run29=0,run30=0,run31=0,run32=0,run33=0,run34=0,run35=0,run36=0,run37=0,run38=0,run39=0,run40=0,run41=0,run42=0,run43=0,run44=0,run45=0,run46=0,run47=0,run48=0,run49=0,run50=0
tOptSuccess;run0=0,run1=0,run2=0,run3=0,run4=0,run5=0,run6=0,run7=0,run8=0,run9=0,run10=0,run11=0,run12=0,run13=0,run14=0,run15=0,run16=0,run17=0,run18=0,run19=0,run20=0,run21=0,run22=0,run23=0,run24=0,run25=0,run26=0,run27=0,run28=0,run29=0,run30=0,run31=0,run32=0,run33=0,run34=0,run35=0,run36=0,run37=0,run38=0,run39=0,run40=0,run41=0,run42=0,run43=0,run44=0,run45=0,run46=0,run47=0,run48=0,run49=0,run50=0
kickCalls;run0=1,run1=1,run2=1,run3=1,run4=1,run5=1,run6=1,run7=1,run8=1,run9=1,run10=1,run11=1,run12=1,run13=1,run14=1,run15=1,run16=1,run17=1,run18=1,run19=1,run20=1,run21=1,run22=1,run23=1,run24=1,run25=1,run26=1,run27=1,run28=1,run29=1,run30=1,run31=1,run32=1,run33=1,run34=1,run35=1,run36=1,run37=1,run38=1,run39=1,run40=1,run41=1,run42=1,run43=1,run44=1,run45=1,run46=1,run47=1,run48=1,run49=1,run50=1
kickSuccess;run0=0,run1=0,run2=0,run3=0,run4=0,run5=0,run6=0,run7=0,run8=0,run9=0,run10=0,run11=0,run12=0,run13=0,run14=0,run15=0,run16=0,run17=0,run18=0,run19=0,run20=0,run21=0,run22=0,run23=0,run24=0,run25=0,run26=0,run27=0,run28=0,run29=0,run30=0,run31=0,run32=0,run33=0,run34=0,run35=0,run36=0,run37=0,run38=0,run39=0,run40=0,run41=0,run42=0,run43=0,run44=0,run45=0,run46=0,run47=0,run48=0,run49=0,run50=0
cacheEvalHitRate;run0=0.00%,run1=0.00%,run2=0.00%,run3=0.00%,run4=0.00%,run5=0.00%,run6=0.00%,run7=0.00%,run8=0.00%,run9=0.00%,run10=0.00%,run11=0.00%,run12=0.00%,run13=0.00%,run14=0.00%,run15=0.00%,run16=0.00%,run17=0.00%,run18=0.00%,run19=0.00%,run20=0.00%,run21=0.00%,run22=0.00%,run23=0.00%,run24=0.00%,run25=0.00%,run26=0.00%,run27=0.00%,run28=0.00%,run29=0.00%,run30=0.00%,run31=0.00%,run32=0.00%,run33=0.00%,run34=0.00%,run35=0.00%,run36=0.00%,run37=0.00%,run38=0.00%,run39=0.00%,run40=0.00%,run41=0.00%,run42=0.00%,run43=0.00%,run44=0.00%,run45=0.00%,run46=0.00%,run47=0.00%,run48=0.03%,run49=0.00%,run50=0.00%
cacheReasHitRate;run0=36.94%,run1=37.08%,run2=36.93%,run3=37.08%,run4=37.24%,run5=37.21%,run6=37.18%,run7=37.05%,run8=36.82%,run9=36.89%,run10=37.49%,run11=36.90%,run12=37.11%,run13=36.73%,run14=36.93%,run15=37.05%,run16=36.87%,run17=36.98%,run18=36.99%,run19=36.77%,run20=37.08%,run21=36.98%,run22=37.30%,run23=36.81%,run24=36.94%,run25=37.08%,run26=37.08%,run27=36.99%,run28=37.28%,run29=36.95%,run30=36.84%,run31=37.00%,run32=37.08%,run33=37.25%,run34=37.09%,run35=37.25%,run36=37.15%,run37=37.16%,run38=37.24%,run39=37.28%,run40=37.08%,run41=37.08%,run42=36.61%,run43=36.92%,run44=36.94%,run45=36.71%,run46=37.04%,run47=37.04%,run48=37.05%,run49=37.28%,run50=36.93%
lkSuccessRate;run0=0.00% (cache:0.0%),run1=0.00% (cache:0.0%),run2=0.00% (cache:0.0%),run3=0.00% (cache:0.0%),run4=0.00% (cache:0.0%),run5=0.00% (cache:0.0%),run6=0.00% (cache:0.0%),run7=0.00% (cache:0.0%),run8=0.00% (cache:0.0%),run9=0.00% (cache:0.0%),run10=0.00% (cache:0.0%),run11=0.00% (cache:0.0%),run12=0.00% (cache:0.0%),run13=0.00% (cache:0.0%),run14=0.00% (cache:0.0%),run15=0.00% (cache:0.0%),run16=0.00% (cache:0.0%),run17=0.00% (cache:0.0%),run18=0.00% (cache:0.0%),run19=0.00% (cache:0.0%),run20=0.00% (cache:0.0%),run21=0.00% (cache:0.0%),run22=0.00% (cache:0.0%),run23=0.00% (cache:0.0%),run24=0.00% (cache:0.0%),run25=0.00% (cache:0.0%),run26=0.00% (cache:0.0%),run27=0.00% (cache:0.0%),run28=0.00% (cache:0.0%),run29=0.00% (cache:0.0%),run30=0.00% (cache:0.0%),run31=0.00% (cache:0.0%),run32=0.00% (cache:0.0%),run33=0.00% (cache:0.0%),run34=0.00% (cache:0.0%),run35=0.00% (cache:0.0%),run36=0.00% (cache:0.0%),run37=0.00% (cache:0.0%),run38=0.00% (cache:0.0%),run39=0.00% (cache:0.0%),run40=0.00% (cache:0.0%),run41=0.00% (cache:0.0%),run42=0.00% (cache:0.0%),run43=0.00% (cache:0.0%),run44=0.00% (cache:0.0%),run45=0.00% (cache:0.0%),run46=0.00% (cache:0.0%),run47=0.00% (cache:0.0%),run48=0.00% (cache:0.0%),run49=0.00% (cache:0.0%),run50=0.00% (cache:0.0%)
tOptSuccessRate;run0=N/A,run1=N/A,run2=N/A,run3=N/A,run4=N/A,run5=N/A,run6=N/A,run7=N/A,run8=N/A,run9=N/A,run10=N/A,run11=N/A,run12=N/A,run13=N/A,run14=N/A,run15=N/A,run16=N/A,run17=N/A,run18=N/A,run19=N/A,run20=N/A,run21=N/A,run22=N/A,run23=N/A,run24=N/A,run25=N/A,run26=N/A,run27=N/A,run28=N/A,run29=N/A,run30=N/A,run31=N/A,run32=N/A,run33=N/A,run34=N/A,run35=N/A,run36=N/A,run37=N/A,run38=N/A,run39=N/A,run40=N/A,run41=N/A,run42=N/A,run43=N/A,run44=N/A,run45=N/A,run46=N/A,run47=N/A,run48=N/A,run49=N/A,run50=N/A

iter;time_ms_mean;time_ms_min;time_ms_max;run0;run1;run2;run3;run4;run5;run6;run7;run8;run9;run10;run11;run12;run13;run14;run15;run16;run17;run18;run19;run20;run21;run22;run23;run24;run25;run26;run27;run28;run29;run30;run31;run32;run33;run34;run35;run36;run37;run38;run39;run40;run41;run42;run43;run44;run45;run46;run47;run48;run49;run50;min;p10;q1;median;q3;p90;max;mean
0;4188.3;1317.8;8906.6;5874.0;5881.0;5589.0;5941.0;5958.0;5613.0;5930.0;5970.0;6038.0;6162.0;5272.0;6325.0;5591.0;6090.0;6157.0;6215.0;6253.0;6516.0;4974.0;5709.0;5979.0;5749.0;5458.0;5695.0;5965.0;5658.0;5678.0;5326.0;5839.0;5851.0;5257.0;5826.0;5722.0;5763.0;5942.0;5522.0;5447.0;5092.0;5790.0;6187.0;5355.0;5374.0;6159.0;5383.0;5097.0;5915.0;5545.0;5777.0;5248.0;5770.0;5895.0;4974.0;5272.0;5533.5;5777.0;5961.5;6162.0;6516.0;5751.4
1;9748.0;5075.9;16352.6;5645.0;5239.0;4933.0;5351.0;5686.0;4976.0;5513.0;5736.0;5832.0;5900.0;4441.0;6048.0;5186.0;5902.0;5427.0;5488.0;6021.0;5879.0;4665.0;5437.0;5544.0;5211.0;5142.0;4510.0;5722.0;4991.0;5421.0;4943.0;5326.0;5463.0;4830.0;5216.0;5390.0;5508.0;5561.0;4897.0;5004.0;4879.0;4796.0;5716.0;5052.0;4899.0;5757.0;5048.0;4872.0;5722.0;5143.0;5420.0;4332.0;5547.0;5580.0;4332.0;4830.0;4983.5;5390.0;5612.5;5832.0;6048.0;5308.8
2;15699.2;7736.3;21430.3;5218.0;5072.0;4760.0;4868.0;5423.0;4697.0;5148.0;5523.0;5230.0;5541.0;4238.0;5450.0;4872.0;5593.0;5163.0;4971.0;5774.0;5217.0;4444.0;4860.0;5000.0;4974.0;4810.0;4252.0;5158.0;4450.0;5147.0;4677.0;4866.0;4848.0;4526.0;4934.0;4742.0;4953.0;4520.0;4496.0;4723.0;4726.0;4530.0;5150.0;4435.0;4142.0;5612.0;4734.0;4612.0;5279.0;4686.0;5267.0;4102.0;5351.0;4843.0;4102.0;4444.0;4681.5;4868.0;5190.0;5450.0;5774.0;4913.9
3;22451.8;14250.6;31319.5;5084.0;4300.0;4303.0;4589.0;5234.0;3874.0;4693.0;5339.0;4804.0;5333.0;3936.0;4933.0;4659.0;5317.0;5030.0;4690.0;5611.0;4972.0;4219.0;4346.0;4882.0;4722.0;4084.0;3869.0;4779.0;4236.0;4910.0;4386.0;4504.0;4372.0;4166.0;4652.0;4140.0;4122.0;4131.0;4268.0;4042.0;4557.0;4255.0;4791.0;3995.0;3816.0;5429.0;4498.0;4424.0;4893.0;4117.0;4694.0;3821.0;5193.0;4383.0;3816.0;3995.0;4192.5;4504.0;4887.5;5234.0;5611.0;4556.8
4;29543.6;20786.9;40801.6;4807.0;3954.0;4058.0;4211.0;4546.0;3624.0;4551.0;4609.0;4347.0;5212.0;3667.0;4670.0;3923.0;5039.0;4918.0;4524.0;5506.0;4436.0;4002.0;4153.0;4610.0;4199.0;3740.0;3684.0;4432.0;3836.0;4746.0;4276.0;4210.0;4170.0;3755.0;4432.0;3722.0;3921.0;3847.0;4085.0;3599.0;4169.0;4065.0;4396.0;3512.0;3530.0;4789.0;3873.0;4060.0;4613.0;3879.0;4512.0;3626.0;5095.0;4010.0;3512.0;3667.0;3876.0;4170.0;4548.5;4807.0;5506.0;4238.2
5;37163.5;25266.0;50306.5;4606.0;3621.0;3790.0;3924.0;4344.0;3448.0;4201.0;4217.0;4057.0;4755.0;3479.0;4385.0;3634.0;4889.0;4633.0;4354.0;4864.0;4117.0;3825.0;3960.0;3698.0;3940.0;3559.0;3475.0;4057.0;3566.0;4334.0;3897.0;3949.0;3850.0;3484.0;4296.0;3544.0;3730.0;3631.0;3664.0;3359.0;3773.0;3683.0;4124.0;3307.0;3313.0;4389.0;3514.0;3654.0;4251.0;3591.0;4214.0;3482.0;4910.0;3653.0;3307.0;3479.0;3606.0;3850.0;4234.0;4606.0;4910.0;3941.1
6;44621.4;31138.4;57788.4;3823.0;3432.0;3545.0;3773.0;4135.0;3235.0;3973.0;3874.0;3670.0;4496.0;3290.0;4088.0;3346.0;4623.0;4441.0;3636.0;4553.0;3798.0;3447.0;3622.0;3532.0;3767.0;3351.0;3218.0;3809.0;3245.0;4091.0;3672.0;3738.0;3551.0;3299.0;3640.0;3227.0;3256.0;3378.0;3507.0;3091.0;3474.0;3534.0;3741.0;3117.0;3157.0;3967.0;3262.0;3343.0;4057.0;3346.0;3794.0;3148.0;4603.0;3351.0;3091.0;3227.0;3344.5;3551.0;3816.0;4135.0;4623.0;3648.4
7;52257.0;37883.0;65580.4;3558.0;3227.0;3366.0;3521.0;3759.0;3115.0;3700.0;3575.0;3309.0;4243.0;3196.0;3870.0;3201.0;4329.0;4074.0;3357.0;4060.0;3615.0;3016.0;3332.0;3332.0;3481.0;3108.0;3070.0;3420.0;3090.0;3896.0;3471.0;3539.0;3288.0;3108.0;3438.0;2990.0;3026.0;3164.0;3325.0;2971.0;3283.0;3316.0;3555.0;2941.0;3024.0;3740.0;3036.0;3141.0;3882.0;3144.0;3483.0;3030.0;4158.0;3101.0;2941.0;3026.0;3111.5;3332.0;3566.5;3896.0;4329.0;3411.3
8;59793.7;43298.0;74431.1;3416.0;3064.0;3176.0;3193.0;3459.0;2961.0;3254.0;3370.0;3108.0;3932.0;3044.0;3591.0;2963.0;3653.0;3762.0;3146.0;3700.0;3262.0;2982.0;3183.0;3145.0;3168.0;3002.0;2954.0;3233.0;2931.0;3309.0;3331.0;3332.0;3052.0;2983.0;3283.0;2957.0;2966.0;3023.0;3083.0;2937.0;3027.0;3108.0;3295.0;2912.0;2985.0;3500.0;2965.0;3015.0;3490.0;3036.0;3250.0;2983.0;3867.0;2972.0;2912.0;2961.0;2984.0;3145.0;3320.0;3591.0;3932.0;3202.2
9;67675.0;48205.2;82062.4;3195.0;2978.0;3068.0;3053.0;3175.0;2956.0;2973.0;3187.0;2987.0;3603.0;2939.0;3267.0;2930.0;3505.0;3546.0;2952.0;3493.0;3100.0;5950.0;3012.0;2970.0;2956.0;2970.0;2953.0;3037.0;2927.0;3196.0;3103.0;3136.0;2973.0;2971.0;3104.0;6371.0;2917.0;2981.0;2963.0;2936.0;3023.0;2993.0;3111.0;6107.0;2981.0;3232.0;2961.0;2989.0;3225.0;2979.0;3060.0;2980.0;3637.0;2966.0;2917.0;2952.0;2970.0;3012.0;3191.0;3546.0;6371.0;3266.2
10;75255.4;53615.5;89271.2;3024.0;2964.0;3061.0;2965.0;3000.0;6004.0;2929.0;3006.0;2970.0;3288.0;2937.0;3135.0;2929.0;3301.0;3335.0;2941.0;3272.0;2958.0;5736.0;2982.0;2957.0;2939.0;2966.0;5647.0;2988.0;6012.0;2947.0;2957.0;2985.0;2955.0;5963.0;2952.0;6437.0;2909.0;6122.0;2956.0;6183.0;6033.0;2972.0;3006.0;6196.0;6150.0;3044.0;6394.0;5715.0;3009.0;2974.0;2948.0;6348.0;3360.0;5744.0;2909.0;2941.0;2957.5;3006.0;5725.5;6150.0;6437.0;3911.9
11;82745.6;58451.4;95898.1;2943.0;2955.0;3056.0;2930.0;2957.0;5956.0;2926.0;2992.0;2968.0;3125.0;6355.0;3043.0;5891.0;3126.0;3143.0;6266.0;3046.0;2949.0;4874.0;2954.0;2956.0;6603.0;6197.0;6309.0;6536.0;6412.0;2936.0;2935.0;2918.0;5787.0;6186.0;2907.0;6263.0;6452.0;6057.0;5954.0;6266.0;5823.0;6216.0;3002.0;5697.0;6523.0;3039.0;5941.0;5019.0;2959.0;6061.0;2944.0;6306.0;3095.0;6400.0;2907.0;2936.0;2958.0;4874.0;6206.5;6400.0;6603.0;4571.6
12;89720.9;63239.9;103432.0;6051.0;6021.0;5764.0;6099.0;2943.0;6152.0;5883.0;5697.0;6314.0;2953.0;6141.0;2970.0;6411.0;2993.0;2980.0;5991.0;2977.0;6526.0;6306.0;6298.0;6402.0;6170.0;6409.0;6362.0;6013.0;6459.0;6176.0;2934.0;2915.0;6184.0;6178.0;2905.0;6207.0;5904.0;6487.0;5635.0;6112.0;5942.0;6109.0;2998.0;6198.0;5979.0;6562.0;6292.0;5740.0;2955.0;6030.0;5848.0;5828.0;2993.0;6221.0;2905.0;2955.0;5666.0;6030.0;6214.0;6409.0;6562.0;5384.6
13;95529.9;64310.8;106731.3;6212.0;6546.0;6601.0;5513.0;2940.0;5906.0;5292.0;6180.0;6491.0;2933.0;6104.0;2955.0;6144.0;2984.0;2945.0;6306.0;2953.0;6294.0;6587.0;6724.0;6474.0;6196.0;6496.0;6197.0;6107.0;6093.0;5913.0;6346.0;6228.0;6485.0;6348.0;6078.0;6338.0;5936.0;5583.0;6078.0;6378.0;6006.0;5862.0;5546.0;5699.0;5951.0;6640.0;6588.0;5973.0;6343.0;6013.0;6140.0;5541.0;5395.0;5857.0;2933.0;2984.0;5778.0;6104.0;6344.5;6546.0;6724.0;5753.7
14;100592.9;65458.6;115852.0;6365.0;6048.0;6119.0;5961.0;6044.0;5609.0;6321.0;6134.0;6483.0;2925.0;5775.0;5746.0;6171.0;2982.0;2943.0;6176.0;5543.0;6603.0;6326.0;5799.0;6116.0;6217.0;5673.0;5798.0;6091.0;6261.0;5878.0;6125.0;5878.0;5519.0;5383.0;6174.0;5530.0;6734.0;5801.0;6105.0;5104.0;6246.0;6485.0;5975.0;5459.0;6216.0;5850.0;5083.0;5409.0;5852.0;5907.0;6298.0;6296.0;6089.0;6159.0;2925.0;5383.0;5709.5;6044.0;6196.0;6326.0;6734.0;5799.7
15;105153.7;66374.4;123876.1;6412.0;6481.0;6519.0;5993.0;6461.0;5307.0;6303.0;5761.0;5903.0;5743.0;6454.0;5964.0;5650.0;6192.0;6240.0;6228.0;5758.0;5798.0;5823.0;6201.0;5825.0;5611.0;6654.0;5539.0;6152.0;5692.0;6062.0;5742.0;6193.0;5913.0;5128.0;5865.0;4904.0;4651.0;6732.0;6269.0;4723.0;6141.0;5554.0;6125.0;5313.0;5468.0;6072.0;4808.0;5222.0;6039.0;5351.0;5861.0;4672.0;6320.0;6271.0;4651.0;5128.0;5582.5;5903.0;6214.5;6454.0;6732.0;5844.4
