param;value
filename;./inputData/kroB150n.car
base_seed;1
nRuns;51
iterations;100
antsN;60
stagnation;50
favorites;60
gbPeriod;0
rhoNodes;0.1
rhoCars;0.1
rhoPass;0.1
alphaNodes;1.5
alphaCars;1.5
alphaPass;1.5
betaNodes;1.1
betaCars;1.1
betaPass;1.1
maxMinCars;0
maxMinNodes;0
pBestCars;0
useTBAS;0
sampleCars;1
enforceNoRerent;1
returnFactorCars;0
epsilonEtaCars;1e-06
smGammaCars;0.7
restartTargetCars;mid
exploreCars;0
exploreItersCars;20
exploreRhoMultCars;2
policyQ0;0.1
adaptiveQ0;0
q0Start;0.2
q0End;0.9
eliteKAnts;6
lsTopW;0
lsQuality;High
useReinsertion;0
reinsertionMaxPasses;5
dpCacheCapacity;5000
dpMaxSegmentLenOffset;5
intensifierEnabled;0
intensifierMaxStagnationIterations;3
intensifierResetPheromonesCount;2
intensifierPheromoneReductionGamma;0.3
intensifierArchiveAndResetBest;1
ablationDisableAntDepositsDuringIntensification;0
ablationResetPheromonesOnIntensifierActivation;0
ablationIntensifierOnlyNoAnts;0
ablationIntensifierOnlyRandomInitialTour;0
runSeeds;run0=9176377229071207081,run1=76241568449944305,run2=11569656429252920891,run3=8006770736520076435,run4=10222608011239175760,run5=83674907983555125,run6=16633518659454552880,run7=3348662810425028053,run8=1625020296661546126,run9=8722260422266777814,run10=18422523289718600251,run11=12120595211417451604,run12=11180516292616150398,run13=13235578871255005297,run14=17784125318686945540,run15=15956506419893335137,run16=2899130862535483918,run17=11850605890185619915,run18=13353388233111958045,run19=6644193456908987648,run20=9748498986499756733,run21=9610614758425770644,run22=16467222360164019310,run23=11726302834367551336,run24=8896860786397106362,run25=6737285527070588895,run26=11634350522773239934,run27=7808547232002136844,run28=3287009989320200796,run29=8484872300069380217,run30=8138020970177873692,run31=16735953543485209995,run32=957827445528146549,run33=9178821638437730898,run34=2354512119315649564,run35=10160966691791677292,run36=27474500062045820,run37=7844575079918988844,run38=15524044195614787644,run39=4980590106503615414,run40=3943098024137922559,run41=141425323448007506,run42=16001952662412044218,run43=6069959457317431616,run44=2033442876187297925,run45=7223543130371895193,run46=4350234967155519396,run47=10524526614539617298,run48=3004527168784687515,run49=3975454624479931874,run50=1666912681748276242
stagnationEvents;run0=0,run1=0,run2=0,run3=0,run4=0,run5=0,run6=0,run7=0,run8=0,run9=0,run10=0,run11=0,run12=1,run13=0,run14=0,run15=0,run16=0,run17=0,run18=0,run19=0,run20=0,run21=0,run22=0,run23=0,run24=0,run25=0,run26=0,run27=0,run28=0,run29=0,run30=0,run31=0,run32=0,run33=0,run34=0,run35=0,run36=0,run37=0,run38=0,run39=0,run40=0,run41=0,run42=0,run43=0,run44=0,run45=0,run46=0,run47=0,run48=0,run49=0,run50=0
lkCalls;run0=0,run1=0,run2=0,run3=0,run4=0,run5=0,run6=0,run7=0,run8=0,run9=0,run10=0,run11=0,run12=1,run13=0,run14=0,run15=0,run16=0,run17=0,run18=0,run19=0,run20=0,run21=0,run22=0,run23=0,run24=0,run25=0,run26=0,run27=0,run28=0,run29=0,run30=0,run31=0,run32=0,run33=0,run34=0,run35=0,run36=0,run37=0,run38=0,run39=0,run40=0,run41=0,run42=0,run43=0,run44=0,run45=0,run46=0,run47=0,run48=0,run49=0,run50=0
lkSuccess;run0=0,run1=0,run2=0,run3=0,run4=0,run5=0,run6=0,run7=0,run8=0,run9=0,run10=0,run11=0,run12=0,run13=0,run14=0,run15=0,run16=0,run17=0,run18=0,run19=0,run20=0,run21=0,run22=0,run23=0,run24=0,run25=0,run26=0,run27=0,run28=0,run29=0,run30=0,run31=0,run32=0,run33=0,run34=0,run35=0,run36=0,run37=0,run38=0,run39=0,run40=0,run41=0,run42=0,run43=0,run44=0,run45=0,run46=0,run47=0,run48=0,run49=0,run50=0
tOptCalls;run0=0,run1=0,run2=0,run3=0,run4=0,run5=0,run6=0,run7=0,run8=0,run9=0,run10=0,run11=0,run12=0,run13=0,run14=0,run15=0,run16=0,run17=0,run18=0,run19=0,run20=0,run21=0,run22=0,run23=0,run24=0,run25=0,run26=0,run27=0,run28=0,run29=0,run30=0,run31=0,run32=0,run33=0,run34=0,run35=0,run36=0,run37=0,run38=0,run39=0,run40=0,run41=0,run42=0,run43=0,run44=0,run45=0,run46=0,run47=0,run48=0,run49=0,run50=0
tOptSuccess;run0=0,run1=0,run2=0,run3=0,run4=0,run5=0,run6=0,run7=0,run8=0,run9=0,run10=0,run11=0,run12=0,run13=0,run14=0,run15=0,run16=0,run17=0,run18=0,run19=0,run20=0,run21=0,run22=0,run23=0,run24=0,run25=0,run26=0,run27=0,run28=0,run29=0,run30=0,run31=0,run32=0,run33=0,run34=0,run35=0,run36=0,run37=0,run38=0,run39=0,run40=0,run41=0,run42=0,run43=0,run44=0,run45=0,run46=0,run47=0,run48=0,run49=0,run50=0
kickCalls;run0=0,run1=0,run2=0,run3=0,run4=0,run5=0,run6=0,run7=0,run8=0,run9=0,run10=0,run11=0,run12=1,run13=0,run14=0,run15=0,run16=0,run17=0,run18=0,run19=0,run20=0,run21=0,run22=0,run23=0,run24=0,run25=0,run26=0,run27=0,run28=0,run29=0,run30=0,run31=0,run32=0,run33=0,run34=0,run35=0,run36=0,run37=0,run38=0,run39=0,run40=0,run41=0,run42=0,run43=0,run44=0,run45=0,run46=0,run47=0,run48=0,run49=0,run50=0
kickSuccess;run0=0,run1=0,run2=0,run3=0,run4=0,run5=0,run6=0,run7=0,run8=0,run9=0,run10=0,run11=0,run12=0,run13=0,run14=0,run15=0,run16=0,run17=0,run18=0,run19=0,run20=0,run21=0,run22=0,run23=0,run24=0,run25=0,run26=0,run27=0,run28=0,run29=0,run30=0,run31=0,run32=0,run33=0,run34=0,run35=0,run36=0,run37=0,run38=0,run39=0,run40=0,run41=0,run42=0,run43=0,run44=0,run45=0,run46=0,run47=0,run48=0,run49=0,run50=0
cacheEvalHitRate;run0=0.00%,run1=0.00%,run2=0.00%,run3=0.00%,run4=0.00%,run5=0.00%,run6=0.00%,run7=0.00%,run8=0.00%,run9=0.00%,run10=0.00%,run11=0.00%,run12=0.00%,run13=0.00%,run14=0.00%,run15=0.00%,run16=0.00%,run17=0.00%,run18=0.00%,run19=0.00%,run20=0.00%,run21=0.00%,run22=0.00%,run23=0.00%,run24=0.00%,run25=0.00%,run26=0.00%,run27=0.00%,run28=0.00%,run29=0.00%,run30=0.00%,run31=0.00%,run32=0.00%,run33=0.00%,run34=0.00%,run35=0.00%,run36=0.00%,run37=0.00%,run38=0.00%,run39=0.00%,run40=0.00%,run41=0.00%,run42=0.00%,run43=0.00%,run44=0.00%,run45=0.00%,run46=0.00%,run47=0.00%,run48=0.00%,run49=0.00%,run50=0.00%
cacheReasHitRate;run0=37.30%,run1=37.30%,run2=37.30%,run3=37.30%,run4=37.30%,run5=37.30%,run6=37.30%,run7=37.30%,run8=37.30%,run9=37.30%,run10=37.30%,run11=37.30%,run12=37.14%,run13=37.30%,run14=37.30%,run15=37.30%,run16=37.30%,run17=37.30%,run18=37.30%,run19=37.30%,run20=37.30%,run21=37.30%,run22=37.30%,run23=37.30%,run24=37.30%,run25=37.30%,run26=37.30%,run27=37.30%,run28=37.30%,run29=37.30%,run30=37.30%,run31=37.30%,run32=37.43%,run33=37.30%,run34=37.30%,run35=37.30%,run36=37.30%,run37=37.30%,run38=37.30%,run39=37.30%,run40=37.30%,run41=37.30%,run42=37.30%,run43=37.30%,run44=37.30%,run45=37.30%,run46=37.30%,run47=37.30%,run48=37.30%,run49=37.30%,run50=37.30%
lkSuccessRate;run0=N/A,run1=N/A,run2=N/A,run3=N/A,run4=N/A,run5=N/A,run6=N/A,run7=N/A,run8=N/A,run9=N/A,run10=N/A,run11=N/A,run12=0.00% (cache:0.0%),run13=N/A,run14=N/A,run15=N/A,run16=N/A,run17=N/A,run18=N/A,run19=N/A,run20=N/A,run21=N/A,run22=N/A,run23=N/A,run24=N/A,run25=N/A,run26=N/A,run27=N/A,run28=N/A,run29=N/A,run30=N/A,run31=N/A,run32=N/A,run33=N/A,run34=N/A,run35=N/A,run36=N/A,run37=N/A,run38=N/A,run39=N/A,run40=N/A,run41=N/A,run42=N/A,run43=N/A,run44=N/A,run45=N/A,run46=N/A,run47=N/A,run48=N/A,run49=N/A,run50=N/A
tOptSuccessRate;run0=N/A,run1=N/A,run2=N/A,run3=N/A,run4=N/A,run5=N/A,run6=N/A,run7=N/A,run8=N/A,run9=N/A,run10=N/A,run11=N/A,run12=N/A,run13=N/A,run14=N/A,run15=N/A,run16=N/A,run17=N/A,run18=N/A,run19=N/A,run20=N/A,run21=N/A,run22=N/A,run23=N/A,run24=N/A,run25=N/A,run26=N/A,run27=N/A,run28=N/A,run29=N/A,run30=N/A,run31=N/A,run32=N/A,run33=N/A,run34=N/A,run35=N/A,run36=N/A,run37=N/A,run38=N/A,run39=N/A,run40=N/A,run41=N/A,run42=N/A,run43=N/A,run44=N/A,run45=N/A,run46=N/A,run47=N/A,run48=N/A,run49=N/A,run50=N/A

iter;time_ms_mean;time_ms_min;time_ms_max;run0;run1;run2;run3;run4;run5;run6;run7;run8;run9;run10;run11;run12;run13;run14;run15;run16;run17;run18;run19;run20;run21;run22;run23;run24;run25;run26;run27;run28;run29;run30;run31;run32;run33;run34;run35;run36;run37;run38;run39;run40;run41;run42;run43;run44;run45;run46;run47;run48;run49;run50;min;p10;q1;median;q3;p90;max;mean
0;1374.4;630.6;3986.6;6320.0;6451.0;5958.0;6261.0;6421.0;6360.0;6242.0;6438.0;6594.0;6621.0;6381.0;6752.0;6077.0;6401.0;6770.0;6596.0;6516.0;6718.0;5445.0;6238.0;6304.0;6150.0;6343.0;6380.0;6198.0;5872.0;6125.0;6234.0;6178.0;6392.0;5920.0;6273.0;6188.0;6052.0;6202.0;6333.0;5566.0;5869.0;6785.0;6446.0;5876.0;6548.0;6523.0;5949.0;5516.0;6748.0;6426.0;6174.0;6437.0;6349.0;6309.0;5445.0;5876.0;6162.0;6320.0;6442.0;6621.0;6785.0;6278.9
1;2956.1;1838.8;7606.3;5592.0;6305.0;5958.0;6261.0;6134.0;6360.0;5910.0;6410.0;6041.0;5858.0;6190.0;6405.0;6077.0;5950.0;6356.0;6084.0;6218.0;6252.0;5445.0;6238.0;5981.0;6150.0;6108.0;6204.0;5950.0;5872.0;6125.0;6234.0;5925.0;6278.0;5920.0;6273.0;6188.0;6052.0;6202.0;6331.0;5566.0;5869.0;6250.0;6182.0;5876.0;6043.0;6475.0;5949.0;5516.0;6198.0;6426.0;5830.0;5684.0;5894.0;6276.0;5445.0;5830.0;5922.5;6125.0;6251.0;6356.0;6475.0;6075.9
2;4592.2;2720.8;9059.9;5592.0;6128.0;5958.0;6261.0;6064.0;6360.0;5910.0;6081.0;6041.0;5858.0;6190.0;6159.0;6077.0;5653.0;6356.0;6084.0;6218.0;5690.0;5445.0;6238.0;5871.0;6139.0;6108.0;6081.0;5950.0;5872.0;6125.0;6234.0;5925.0;5690.0;5920.0;6082.0;5789.0;6052.0;5496.0;5988.0;5566.0;5869.0;6175.0;6057.0;5876.0;6043.0;6475.0;5779.0;5516.0;6145.0;6426.0;5830.0;5684.0;5894.0;6172.0;5445.0;5653.0;5863.5;6043.0;6142.0;6238.0;6475.0;5984.2
3;6252.9;3658.4;11324.9;5592.0;6128.0;5958.0;6261.0;5812.0;5986.0;5910.0;6081.0;6041.0;5858.0;5527.0;6159.0;6060.0;5653.0;6233.0;6084.0;6218.0;5690.0;5445.0;6238.0;5871.0;6139.0;6108.0;6081.0;5950.0;5777.0;6066.0;6234.0;5925.0;5690.0;5588.0;6082.0;5789.0;6052.0;5496.0;5988.0;5566.0;5770.0;6139.0;6057.0;5876.0;5980.0;5679.0;5779.0;5516.0;6145.0;6287.0;5830.0;5684.0;5894.0;6165.0;5445.0;5588.0;5773.5;5958.0;6096.0;6218.0;6287.0;5924.3
4;7757.5;5121.3;12999.8;5592.0;6128.0;5958.0;6261.0;5812.0;5986.0;5910.0;6081.0;6041.0;5858.0;5527.0;6034.0;6060.0;5653.0;6233.0;6084.0;5693.0;5690.0;5445.0;6053.0;5871.0;6139.0;5784.0;6081.0;5950.0;5777.0;6066.0;6103.0;5925.0;5690.0;5588.0;6082.0;5789.0;6052.0;5496.0;5988.0;5566.0;5770.0;5901.0;6057.0;5876.0;5980.0;5679.0;5779.0;5516.0;6145.0;6154.0;5830.0;5684.0;5894.0;5760.0;5445.0;5588.0;5726.5;5901.0;6058.5;6128.0;6261.0;5883.7
5;9429.6;6152.7;14100.5;5592.0;5645.0;5958.0;6261.0;5812.0;5986.0;5910.0;6081.0;6041.0;5620.0;5527.0;6034.0;5279.0;5653.0;6233.0;5933.0;5693.0;5690.0;5445.0;6053.0;5871.0;6139.0;5784.0;6081.0;5950.0;5777.0;6066.0;6103.0;5925.0;5690.0;5588.0;6082.0;5789.0;6052.0;5496.0;5747.0;5566.0;5770.0;5901.0;5464.0;5876.0;5980.0;5679.0;5779.0;5516.0;6145.0;6070.0;5830.0;5684.0;5894.0;5760.0;5279.0;5527.0;5681.5;5830.0;6037.5;6082.0;6261.0;5833.3
6;11055.1;6925.4;16835.4;5592.0;5645.0;5958.0;6261.0;5812.0;5986.0;5910.0;6081.0;6003.0;5620.0;5527.0;5826.0;5279.0;5653.0;6112.0;5933.0;5693.0;5690.0;5445.0;6053.0;5871.0;6139.0;5784.0;6081.0;5950.0;5777.0;6066.0;6083.0;5276.0;5690.0;5588.0;6082.0;5789.0;6052.0;5496.0;5747.0;5566.0;5770.0;5901.0;5464.0;5758.0;5980.0;5679.0;5779.0;5516.0;6034.0;6070.0;5830.0;5684.0;5894.0;5760.0;5276.0;5516.0;5666.0;5789.0;5994.5;6081.0;6261.0;5808.5
7;12731.2;8838.5;19729.4;5592.0;5645.0;5958.0;6261.0;5812.0;5986.0;5910.0;6081.0;5851.0;5620.0;5527.0;5826.0;5279.0;5653.0;5807.0;5445.0;5693.0;5690.0;5445.0;6053.0;5871.0;6139.0;5784.0;6081.0;5950.0;5777.0;6066.0;5816.0;5276.0;5690.0;5588.0;6082.0;5541.0;6052.0;5496.0;5747.0;5566.0;5770.0;5901.0;5464.0;5758.0;5980.0;5679.0;5779.0;5516.0;5894.0;6070.0;5830.0;5684.0;5894.0;5760.0;5276.0;5496.0;5632.5;5779.0;5930.0;6070.0;6261.0;5777.2
8;14310.5;10387.4;20768.6;5592.0;5645.0;5958.0;6261.0;5812.0;5309.0;5910.0;5839.0;5851.0;5620.0;5527.0;5641.0;5279.0;5653.0;5807.0;5445.0;5693.0;5690.0;5445.0;6053.0;5871.0;6139.0;5784.0;5601.0;5829.0;5777.0;6066.0;5816.0;5276.0;5653.0;5588.0;6082.0;5541.0;5786.0;5496.0;5747.0;5566.0;5770.0;5901.0;5464.0;5758.0;5980.0;5679.0;5779.0;5516.0;5894.0;6012.0;5830.0;5684.0;5894.0;5760.0;5276.0;5464.0;5596.5;5760.0;5861.0;6012.0;6261.0;5736.6
9;15843.2;11486.6;21671.8;5592.0;5645.0;5958.0;6206.0;5812.0;5309.0;5910.0;5839.0;5851.0;5620.0;5527.0;5641.0;5279.0;5653.0;5807.0;5445.0;5693.0;5690.0;5445.0;6053.0;5871.0;6139.0;5784.0;5601.0;5829.0;5777.0;6066.0;5816.0;5276.0;5653.0;5588.0;5559.0;5541.0;5786.0;5496.0;5747.0;5566.0;5770.0;5901.0;5464.0;5758.0;5980.0;5679.0;5639.0;5516.0;5894.0;5891.0;5830.0;5684.0;5894.0;5760.0;5276.0;5464.0;5590.0;5747.0;5845.0;5958.0;6206.0;5720.2
10;17649.8;12834.7;24028.8;5592.0;5610.0;5958.0;5870.0;5812.0;5309.0;5910.0;5839.0;5851.0;5620.0;5527.0;5641.0;5279.0;5653.0;5807.0;5445.0;5693.0;5690.0;5445.0;5728.0;5871.0;6139.0;5784.0;5601.0;5829.0;5777.0;6066.0;5816.0;5276.0;5653.0;5588.0;5559.0;5541.0;5786.0;5496.0;5747.0;5566.0;5770.0;5901.0;5464.0;5758.0;5980.0;5501.0;5639.0;5516.0;5894.0;5891.0;5830.0;5684.0;5894.0;5760.0;5276.0;5464.0;5577.0;5728.0;5834.5;5901.0;6139.0;5703.1
11;19316.0;14071.0;27608.0;5592.0;5610.0;5958.0;5870.0;5812.0;5309.0;5910.0;5839.0;5851.0;5620.0;5527.0;5641.0;5279.0;5653.0;5807.0;5445.0;5693.0;5650.0;5445.0;5728.0;5467.0;5928.0;5784.0;5601.0;5829.0;5777.0;6066.0;5816.0;5276.0;5653.0;5588.0;5559.0;5541.0;5786.0;5496.0;5747.0;5566.0;5770.0;5901.0;5464.0;5758.0;5980.0;5501.0;5639.0;5516.0;5894.0;5891.0;5830.0;5684.0;5894.0;5760.0;5276.0;5464.0;5562.5;5693.0;5829.5;5901.0;6066.0;5690.2
12;21241.0;15699.3;31173.1;5592.0;5610.0;5958.0;5870.0;5812.0;5309.0;5910.0;5839.0;5764.0;5620.0;5527.0;5641.0;5279.0;5653.0;5807.0;5445.0;5693.0;5650.0;5445.0;5161.0;5467.0;5928.0;5478.0;5601.0;5829.0;5777.0;5954.0;5816.0;5276.0;5653.0;5588.0;5559.0;5541.0;5786.0;5496.0;5747.0;5566.0;5770.0;5856.0;5464.0;5758.0;5980.0;5501.0;5639.0;5516.0;5894.0;5891.0;5830.0;5684.0;5894.0;5760.0;5161.0;5445.0;5534.0;5653.0;5822.5;5894.0;5980.0;5668.3
13;23130.8;16999.0;32962.5;5592.0;5610.0;5958.0;5870.0;5812.0;5165.0;5910.0;5817.0;5764.0;5620.0;5527.0;5641.0;5279.0;5653.0;5807.0;5445.0;5693.0;5650.0;5445.0;5161.0;5467.0;5928.0;5478.0;5601.0;5829.0;5777.0;5954.0;5816.0;5276.0;5653.0;5588.0;5559.0;5541.0;5786.0;5496.0;5747.0;5566.0;5770.0;5737.0;5464.0;5758.0;5980.0;5259.0;5639.0;5516.0;5894.0;5891.0;5639.0;5684.0;5894.0;5760.0;5161.0;5445.0;5534.0;5653.0;5809.5;5894.0;5980.0;5654.2
14;25152.5;18565.2;34997.1;5592.0;5610.0;5958.0;5870.0;5812.0;5165.0;5910.0;5817.0;5764.0;5620.0;5527.0;5641.0;5279.0;5532.0;5807.0;5445.0;5693.0;5650.0;5445.0;5161.0;5467.0;5928.0;5478.0;5601.0;5467.0;5777.0;5954.0;5114.0;5276.0;5653.0;5588.0;5559.0;5495.0;5786.0;5496.0;5747.0;5566.0;5770.0;5737.0;5464.0;5758.0;5980.0;5259.0;5639.0;5516.0;5894.0;5891.0;5639.0;5684.0;5894.0;5760.0;5114.0;5279.0;5495.5;5639.0;5781.5;5894.0;5980.0;5630.1
