run;activation_index;cost_start;cost_end;improved;depth
7;1;280;278;1;0
2;1;281;278;1;0
14;1;274;274;0;0
9;1;276;276;0;0
0;1;277;277;0;0
1;1;284;281;1;0
8;1;278;273;1;0
15;1;287;273;1;0
3;1;278;271;1;1
13;1;285;273;1;1
6;1;279;272;1;2
5;1;279;271;1;1
4;1;280;276;1;2
10;1;277;274;1;1
2;2;276;276;0;1
14;2;273;273;0;1
11;1;284;279;1;2
8;2;273;273;0;1
9;2;277;273;1;1
7;2;281;277;1;2
1;2;273;273;0;1
15;2;275;275;0;1
3;2;273;273;0;1
0;2;278;272;1;2
12;1;281;275;1;1
6;2;276;276;0;1
11;2;271;271;0;1
13;2;280;271;1;1
5;2;272;272;0;1
4;2;281;273;1;1
1;3;275;275;0;1
2;3;272;276;0;1
10;2;278;272;1;2
8;3;281;277;1;2
12;2;278;274;1;2
3;3;273;273;0;1
14;3;275;272;1;2
9;3;277;272;1;3
15;3;275;271;1;2
11;3;280;271;1;1
1;4;272;272;0;1
7;3;278;271;1;3
4;3;281;273;1;2
13;3;278;271;1;3
6;3;281;271;1;3
10;3;281;271;1;2
5;3;271;271;0;1
8;4;274;273;1;1
2;4;274;273;1;2
0;3;281;271;1;3
3;4;271;271;0;1
12;3;274;274;0;1
14;4;271;271;0;1
9;4;272;272;0;0
15;4;271;271;0;0
11;4;271;271;0;0
1;5;272;272;0;0
4;4;271;271;0;0
5;4;271;271;0;0
13;4;271;271;0;0
6;4;271;271;0;0
7;4;271;271;0;0
10;4;271;271;0;0
0;4;271;271;0;0
8;5;273;273;0;0
2;5;273;273;0;0
3;5;271;271;0;0
12;4;274;274;0;0
14;5;271;271;0;0
2;6;271;271;0;1
9;5;272;272;0;0
15;5;271;271;0;0
11;5;271;271;0;0
12;5;271;271;0;1
4;5;271;271;0;0
1;6;272;272;0;0
10;5;271;271;0;0
5;5;271;271;0;0
6;5;271;271;0;0
7;5;271;271;0;0
0;5;271;271;0;0
8;6;273;273;0;0
13;5;271;271;0;0
3;6;271;271;0;0
14;6;271;271;0;0
2;7;271;271;0;0
9;6;272;272;0;0
15;6;271;271;0;0
12;6;271;271;0;0
11;6;271;271;0;0
4;6;271;271;0;0
0;6;271;271;0;0
10;6;271;271;0;0
7;6;271;271;0;0
6;6;271;271;0;0
5;6;271;271;0;0
8;7;273;273;0;0
1;7;272;271;1;1
13;6;271;271;0;0
