param;value
filename;./inputData/BrasilMG30n.car
base_seed;1
nRuns;51
iterations;150
antsN;50
stagnation;30
favorites;20
gbPeriod;0
rhoNodes;0.1
rhoCars;0.1
rhoPass;0.1
alphaNodes;1.5
alphaCars;1.5
alphaPass;1.5
betaNodes;1.2
betaCars;1.2
betaPass;1.1
maxMinCars;0
maxMinNodes;0
pBestCars;0
useTBAS;0
sampleCars;1
enforceNoRerent;1
returnFactorCars;0
epsilonEtaCars;1e-06
smGammaCars;0.7
restartTargetCars;mid
exploreCars;0
exploreItersCars;20
exploreRhoMultCars;2
policyQ0;0.1
adaptiveQ0;1
q0Start;0.2
q0End;0.9
eliteKAnts;7
lsTopW;0
lsQuality;High
useReinsertion;1
reinsertionMaxPasses;5
dpCacheCapacity;5000
dpMaxSegmentLenOffset;5
intensifierEnabled;1
intensifierMaxStagnationIterations;3
intensifierResetPheromonesCount;2
intensifierPheromoneReductionGamma;0.3
intensifierArchiveAndResetBest;1
ablationDisableAntDepositsDuringIntensification;0
ablationResetPheromonesOnIntensifierActivation;0
ablationIntensifierOnlyNoAnts;0
ablationIntensifierOnlyRandomInitialTour;0
runSeeds;run0=9176377229071207081,run1=76241568449944305,run2=11569656429252920891,run3=8006770736520076435,run4=10222608011239175760,run5=83674907983555125,run6=16633518659454552880,run7=3348662810425028053,run8=1625020296661546126,run9=8722260422266777814,run10=18422523289718600251,run11=12120595211417451604,run12=11180516292616150398,run13=13235578871255005297,run14=17784125318686945540,run15=15956506419893335137,run16=2899130862535483918,run17=11850605890185619915,run18=13353388233111958045,run19=6644193456908987648,run20=9748498986499756733,run21=9610614758425770644,run22=16467222360164019310,run23=11726302834367551336,run24=8896860786397106362,run25=6737285527070588895,run26=11634350522773239934,run27=7808547232002136844,run28=3287009989320200796,run29=8484872300069380217,run30=8138020970177873692,run31=16735953543485209995,run32=957827445528146549,run33=9178821638437730898,run34=2354512119315649564,run35=10160966691791677292,run36=27474500062045820,run37=7844575079918988844,run38=15524044195614787644,run39=4980590106503615414,run40=3943098024137922559,run41=141425323448007506,run42=16001952662412044218,run43=6069959457317431616,run44=2033442876187297925,run45=7223543130371895193,run46=4350234967155519396,run47=10524526614539617298,run48=3004527168784687515,run49=3975454624479931874,run50=1666912681748276242
stagnationEvents;run0=4,run1=4,run2=3,run3=4,run4=4,run5=4,run6=4,run7=4,run8=4,run9=4,run10=4,run11=4,run12=3,run13=4,run14=3,run15=4,run16=4,run17=4,run18=4,run19=4,run20=4,run21=3,run22=4,run23=4,run24=4,run25=4,run26=3,run27=4,run28=3,run29=4,run30=3,run31=4,run32=4,run33=3,run34=3,run35=4,run36=4,run37=3,run38=4,run39=4,run40=4,run41=3,run42=4,run43=4,run44=4,run45=4,run46=3,run47=3,run48=3,run49=4,run50=4
lkCalls;run0=4,run1=4,run2=3,run3=4,run4=4,run5=4,run6=4,run7=4,run8=4,run9=4,run10=4,run11=4,run12=3,run13=4,run14=3,run15=4,run16=4,run17=4,run18=4,run19=4,run20=4,run21=3,run22=4,run23=4,run24=4,run25=4,run26=3,run27=4,run28=3,run29=4,run30=3,run31=4,run32=4,run33=3,run34=3,run35=4,run36=4,run37=3,run38=4,run39=4,run40=4,run41=3,run42=4,run43=4,run44=4,run45=4,run46=3,run47=3,run48=3,run49=4,run50=4
lkSuccess;run0=0,run1=0,run2=0,run3=0,run4=0,run5=0,run6=0,run7=0,run8=0,run9=0,run10=0,run11=0,run12=0,run13=0,run14=0,run15=0,run16=0,run17=0,run18=0,run19=0,run20=0,run21=0,run22=0,run23=0,run24=0,run25=0,run26=0,run27=0,run28=0,run29=0,run30=0,run31=0,run32=0,run33=0,run34=0,run35=0,run36=0,run37=0,run38=0,run39=0,run40=0,run41=0,run42=0,run43=0,run44=0,run45=0,run46=0,run47=0,run48=0,run49=0,run50=0
tOptCalls;run0=0,run1=0,run2=0,run3=0,run4=0,run5=0,run6=0,run7=0,run8=0,run9=0,run10=0,run11=0,run12=0,run13=0,run14=0,run15=0,run16=0,run17=0,run18=0,run19=0,run20=0,run21=0,run22=0,run23=0,run24=0,run25=0,run26=0,run27=0,run28=0,run29=0,run30=0,run31=0,run32=0,run33=0,run34=0,run35=0,run36=0,run37=0,run38=0,run39=0,run40=0,run41=0,run42=0,run43=0,run44=0,run45=0,run46=0,run47=0,run48=0,run49=0,run50=0
tOptSuccess;run0=0,run1=0,run2=0,run3=0,run4=0,run5=0,run6=0,run7=0,run8=0,run9=0,run10=0,run11=0,run12=0,run13=0,run14=0,run15=0,run16=0,run17=0,run18=0,run19=0,run20=0,run21=0,run22=0,run23=0,run24=0,run25=0,run26=0,run27=0,run28=0,run29=0,run30=0,run31=0,run32=0,run33=0,run34=0,run35=0,run36=0,run37=0,run38=0,run39=0,run40=0,run41=0,run42=0,run43=0,run44=0,run45=0,run46=0,run47=0,run48=0,run49=0,run50=0
kickCalls;run0=4,run1=4,run2=3,run3=4,run4=4,run5=4,run6=4,run7=4,run8=4,run9=4,run10=4,run11=4,run12=3,run13=4,run14=3,run15=4,run16=4,run17=4,run18=4,run19=4,run20=4,run21=3,run22=4,run23=4,run24=4,run25=4,run26=3,run27=4,run28=3,run29=4,run30=3,run31=4,run32=4,run33=3,run34=3,run35=4,run36=4,run37=3,run38=4,run39=4,run40=4,run41=3,run42=4,run43=4,run44=4,run45=4,run46=3,run47=3,run48=3,run49=4,run50=4
kickSuccess;run0=0,run1=0,run2=0,run3=0,run4=1,run5=0,run6=0,run7=0,run8=0,run9=0,run10=0,run11=0,run12=0,run13=0,run14=0,run15=0,run16=0,run17=0,run18=0,run19=0,run20=0,run21=0,run22=0,run23=0,run24=0,run25=0,run26=0,run27=0,run28=0,run29=0,run30=0,run31=0,run32=0,run33=0,run34=0,run35=0,run36=0,run37=0,run38=0,run39=0,run40=0,run41=0,run42=0,run43=0,run44=0,run45=0,run46=0,run47=0,run48=0,run49=0,run50=0
cacheEvalHitRate;run0=67.00%,run1=66.58%,run2=68.02%,run3=67.75%,run4=67.91%,run5=66.03%,run6=67.14%,run7=65.09%,run8=61.52%,run9=67.02%,run10=69.42%,run11=67.39%,run12=67.43%,run13=56.53%,run14=68.10%,run15=69.54%,run16=65.79%,run17=67.06%,run18=68.19%,run19=64.56%,run20=66.58%,run21=69.77%,run22=66.76%,run23=66.32%,run24=67.65%,run25=67.37%,run26=66.61%,run27=71.36%,run28=68.87%,run29=66.48%,run30=65.58%,run31=68.46%,run32=65.85%,run33=67.13%,run34=66.34%,run35=68.43%,run36=66.32%,run37=69.90%,run38=68.09%,run39=69.08%,run40=65.51%,run41=64.14%,run42=65.27%,run43=67.99%,run44=65.11%,run45=67.57%,run46=66.59%,run47=64.43%,run48=69.09%,run49=68.01%,run50=65.55%
cacheReasHitRate;run0=83.49%,run1=82.49%,run2=83.19%,run3=83.29%,run4=82.71%,run5=81.54%,run6=83.29%,run7=82.35%,run8=78.12%,run9=82.20%,run10=85.40%,run11=83.19%,run12=82.68%,run13=74.15%,run14=83.72%,run15=85.30%,run16=81.59%,run17=82.67%,run18=83.59%,run19=81.42%,run20=82.49%,run21=84.06%,run22=82.61%,run23=81.88%,run24=83.18%,run25=82.53%,run26=82.31%,run27=85.50%,run28=83.70%,run29=81.77%,run30=82.36%,run31=83.88%,run32=82.51%,run33=83.15%,run34=84.20%,run35=83.50%,run36=81.79%,run37=85.08%,run38=83.98%,run39=85.01%,run40=81.78%,run41=79.27%,run42=80.95%,run43=84.55%,run44=81.83%,run45=83.79%,run46=81.97%,run47=77.77%,run48=83.80%,run49=82.34%,run50=82.89%
lkSuccessRate;run0=0.00% (cache:67.0%),run1=0.00% (cache:66.6%),run2=0.00% (cache:68.0%),run3=0.00% (cache:67.7%),run4=0.00% (cache:67.9%),run5=0.00% (cache:66.0%),run6=0.00% (cache:67.1%),run7=0.00% (cache:65.1%),run8=0.00% (cache:61.5%),run9=0.00% (cache:67.0%),run10=0.00% (cache:69.4%),run11=0.00% (cache:67.4%),run12=0.00% (cache:67.4%),run13=0.00% (cache:56.5%),run14=0.00% (cache:68.1%),run15=0.00% (cache:69.5%),run16=0.00% (cache:65.8%),run17=0.00% (cache:67.1%),run18=0.00% (cache:68.2%),run19=0.00% (cache:64.6%),run20=0.00% (cache:66.6%),run21=0.00% (cache:69.8%),run22=0.00% (cache:66.8%),run23=0.00% (cache:66.3%),run24=0.00% (cache:67.6%),run25=0.00% (cache:67.4%),run26=0.00% (cache:66.6%),run27=0.00% (cache:71.4%),run28=0.00% (cache:68.9%),run29=0.00% (cache:66.5%),run30=0.00% (cache:65.6%),run31=0.00% (cache:68.5%),run32=0.00% (cache:65.9%),run33=0.00% (cache:67.1%),run34=0.00% (cache:66.3%),run35=0.00% (cache:68.4%),run36=0.00% (cache:66.3%),run37=0.00% (cache:69.9%),run38=0.00% (cache:68.1%),run39=0.00% (cache:69.1%),run40=0.00% (cache:65.5%),run41=0.00% (cache:64.1%),run42=0.00% (cache:65.3%),run43=0.00% (cache:68.0%),run44=0.00% (cache:65.1%),run45=0.00% (cache:67.6%),run46=0.00% (cache:66.6%),run47=0.00% (cache:64.4%),run48=0.00% (cache:69.1%),run49=0.00% (cache:68.0%),run50=0.00% (cache:65.6%)
tOptSuccessRate;run0=N/A,run1=N/A,run2=N/A,run3=N/A,run4=N/A,run5=N/A,run6=N/A,run7=N/A,run8=N/A,run9=N/A,run10=N/A,run11=N/A,run12=N/A,run13=N/A,run14=N/A,run15=N/A,run16=N/A,run17=N/A,run18=N/A,run19=N/A,run20=N/A,run21=N/A,run22=N/A,run23=N/A,run24=N/A,run25=N/A,run26=N/A,run27=N/A,run28=N/A,run29=N/A,run30=N/A,run31=N/A,run32=N/A,run33=N/A,run34=N/A,run35=N/A,run36=N/A,run37=N/A,run38=N/A,run39=N/A,run40=N/A,run41=N/A,run42=N/A,run43=N/A,run44=N/A,run45=N/A,run46=N/A,run47=N/A,run48=N/A,run49=N/A,run50=N/A

iter;time_ms_mean;time_ms_min;time_ms_max;run0;run1;run2;run3;run4;run5;run6;run7;run8;run9;run10;run11;run12;run13;run14;run15;run16;run17;run18;run19;run20;run21;run22;run23;run24;run25;run26;run27;run28;run29;run30;run31;run32;run33;run34;run35;run36;run37;run38;run39;run40;run41;run42;run43;run44;run45;run46;run47;run48;run49;run50;min;p10;q1;median;q3;p90;max;mean
0;285.8;242.1;338.0;277.0;284.0;278.0;278.0;280.0;278.0;279.0;278.0;278.0;276.0;277.0;284.0;281.0;285.0;274.0;287.0;276.0;278.0;277.0;278.0;282.0;273.0;274.0;283.0;281.0;275.0;286.0;283.0;280.0;278.0;283.0;286.0;283.0;283.0;286.0;280.0;282.0;284.0;275.0;284.0;284.0;283.0;278.0;280.0;282.0;283.0;283.0;286.0;283.0;283.0;283.0;273.0;276.0;278.0;281.0;283.0;285.0;287.0;280.6
1;561.0;456.0;629.4;284.0;281.0;286.0;281.0;283.0;281.0;282.0;278.0;273.0;285.0;283.0;285.0;278.0;279.0;276.0;280.0;281.0;281.0;279.0;271.0;279.0;275.0;278.0;276.0;283.0;276.0;288.0;280.0;283.0;281.0;277.0;280.0;282.0;283.0;282.0;286.0;278.0;283.0;287.0;282.0;282.0;280.0;281.0;286.0;274.0;274.0;280.0;281.0;279.0;278.0;281.0;271.0;276.0;278.0;281.0;283.0;285.0;288.0;280.4
2;840.6;726.0;928.0;286.0;283.0;284.0;280.0;279.0;279.0;277.0;284.0;280.0;281.0;290.0;281.0;277.0;282.0;281.0;273.0;280.0;279.0;283.0;280.0;281.0;275.0;275.0;281.0;279.0;273.0;283.0;284.0;282.0;282.0;277.0;271.0;283.0;279.0;274.0;281.0;283.0;282.0;286.0;277.0;274.0;278.0;277.0;280.0;274.0;280.0;282.0;281.0;274.0;274.0;275.0;271.0;274.0;277.0;280.0;282.0;284.0;290.0;279.5
3;1115.8;967.5;1214.5;277.0;282.0;282.0;271.0;285.0;280.0;278.0;278.0;277.0;282.0;281.0;283.0;276.0;281.0;274.0;274.0;283.0;274.0;284.0;276.0;286.0;284.0;282.0;278.0;279.0;281.0;279.0;278.0;285.0;279.0;287.0;277.0;283.0;282.0;275.0;284.0;278.0;281.0;281.0;284.0;280.0;279.0;274.0;284.0;277.0;280.0;276.0;277.0;282.0;273.0;277.0;271.0;274.0;277.0;280.0;282.0;284.0;287.0;279.6
4;1380.6;1165.9;1546.9;279.0;282.0;282.0;279.0;276.0;271.0;272.0;283.0;282.0;283.0;274.0;279.0;279.0;273.0;274.0;274.0;283.0;281.0;283.0;281.0;275.0;279.0;282.0;279.0;275.0;279.0;279.0;274.0;278.0;285.0;274.0;279.0;284.0;282.0;275.0;277.0;284.0;283.0;276.0;279.0;275.0;283.0;282.0;283.0;276.0;282.0;277.0;282.0;280.0;281.0;283.0;271.0;274.0;276.0;279.0;282.0;283.0;285.0;279.1
5;1645.6;1429.1;1846.0;280.0;282.0;276.0;282.0;282.0;280.0;283.0;281.0;278.0;277.0;282.0;279.0;280.0;279.0;273.0;278.0;282.0;284.0;281.0;280.0;284.0;281.0;277.0;275.0;287.0;282.0;282.0;284.0;285.0;283.0;281.0;275.0;278.0;276.0;271.0;274.0;280.0;284.0;273.0;274.0;274.0;279.0;282.0;286.0;279.0;283.0;272.0;274.0;281.0;283.0;279.0;271.0;274.0;277.0;280.0;282.0;284.0;287.0;279.5
6;1907.5;1693.2;2186.5;278.0;284.0;279.0;278.0;283.0;279.0;281.0;284.0;273.0;273.0;281.0;286.0;284.0;281.0;273.0;281.0;279.0;282.0;276.0;279.0;282.0;280.0;277.0;275.0;279.0;285.0;274.0;273.0;280.0;275.0;281.0;278.0;273.0;278.0;282.0;271.0;279.0;282.0;281.0;275.0;282.0;275.0;278.0;277.0;281.0;281.0;280.0;281.0;280.0;285.0;283.0;271.0;273.0;277.0;280.0;281.5;284.0;286.0;279.2
7;2169.9;1870.3;2454.2;283.0;273.0;278.0;282.0;278.0;278.0;284.0;277.0;279.0;278.0;274.0;284.0;275.0;274.0;282.0;275.0;273.0;279.0;276.0;278.0;281.0;279.0;273.0;273.0;280.0;281.0;281.0;271.0;271.0;276.0;281.0;278.0;276.0;283.0;279.0;280.0;276.0;278.0;282.0;274.0;281.0;275.0;276.0;272.0;282.0;284.0;278.0;283.0;273.0;280.0;283.0;271.0;273.0;275.0;278.0;281.0;283.0;284.0;278.0
8;2421.6;2087.1;2721.8;272.0;285.0;279.0;273.0;283.0;284.0;281.0;278.0;278.0;279.0;281.0;282.0;280.0;284.0;281.0;279.0;271.0;282.0;274.0;276.0;282.0;276.0;277.0;274.0;281.0;282.0;278.0;278.0;283.0;284.0;273.0;279.0;282.0;280.0;272.0;274.0;274.0;283.0;277.0;287.0;281.0;273.0;282.0;281.0;278.0;277.0;281.0;281.0;281.0;282.0;281.0;271.0;273.0;277.0;280.0;282.0;283.0;287.0;279.1
9;2675.9;2281.1;2985.3;279.0;282.0;276.0;274.0;281.0;284.0;276.0;281.0;282.0;277.0;283.0;271.0;277.0;280.0;279.0;283.0;281.0;283.0;271.0;279.0;271.0;283.0;281.0;275.0;271.0;278.0;277.0;273.0;284.0;280.0;277.0;274.0;274.0;286.0;273.0;274.0;274.0;284.0;281.0;281.0;284.0;277.0;281.0;274.0;273.0;280.0;279.0;283.0;283.0;281.0;280.0;271.0;273.0;274.5;279.0;281.5;283.0;286.0;278.5
10;2929.7;2473.7;3280.7;276.0;281.0;283.0;275.0;276.0;272.0;283.0;282.0;285.0;281.0;278.0;275.0;281.0;271.0;281.0;283.0;284.0;279.0;277.0;281.0;274.0;271.0;283.0;274.0;281.0;276.0;274.0;281.0;274.0;280.0;285.0;274.0;279.0;280.0;280.0;280.0;280.0;277.0;285.0;274.0;278.0;274.0;280.0;272.0;280.0;278.0;279.0;279.0;283.0;275.0;278.0;271.0;274.0;275.0;279.0;281.0;283.0;285.0;278.5
11;3179.9;2685.5;3533.9;276.0;285.0;281.0;275.0;273.0;282.0;286.0;280.0;281.0;277.0;276.0;275.0;279.0;275.0;281.0;277.0;280.0;277.0;282.0;276.0;276.0;276.0;278.0;279.0;279.0;280.0;282.0;283.0;281.0;285.0;282.0;273.0;278.0;276.0;280.0;277.0;276.0;278.0;282.0;281.0;281.0;280.0;282.0;283.0;281.0;277.0;276.0;278.0;281.0;275.0;281.0;273.0;275.0;276.0;279.0;281.0;282.0;286.0;279.0
12;3419.1;2889.5;3767.5;284.0;275.0;280.0;274.0;276.0;283.0;279.0;284.0;282.0;275.0;279.0;279.0;283.0;279.0;284.0;283.0;278.0;282.0;282.0;278.0;275.0;282.0;278.0;285.0;283.0;285.0;273.0;282.0;284.0;276.0;282.0;282.0;283.0;279.0;279.0;279.0;282.0;276.0;277.0;275.0;282.0;275.0;280.0;271.0;283.0;279.0;280.0;277.0;282.0;281.0;275.0;271.0;275.0;277.0;280.0;282.0;284.0;285.0;279.6
13;3662.8;3101.6;4077.6;281.0;280.0;271.0;277.0;281.0;280.0;282.0;281.0;278.0;282.0;272.0;281.0;278.0;283.0;274.0;283.0;275.0;276.0;273.0;276.0;281.0;281.0;276.0;273.0;283.0;279.0;283.0;272.0;283.0;276.0;283.0;275.0;282.0;286.0;280.0;276.0;276.0;288.0;283.0;276.0;281.0;275.0;274.0;279.0;273.0;284.0;281.0;281.0;274.0;280.0;283.0;271.0;273.0;276.0;280.0;282.0;283.0;288.0;278.8
14;3900.1;3298.3;4370.5;277.0;276.0;276.0;280.0;277.0;272.0;281.0;278.0;277.0;274.0;283.0;286.0;281.0;282.0;286.0;277.0;279.0;274.0;277.0;277.0;273.0;276.0;276.0;271.0;283.0;279.0;277.0;282.0;273.0;274.0;277.0;276.0;275.0;282.0;274.0;279.0;281.0;281.0;275.0;274.0;282.0;278.0;283.0;283.0;283.0;283.0;273.0;276.0;280.0;275.0;278.0;271.0;274.0;275.5;277.0;281.0;283.0;286.0;278.1
15;4140.2;3498.9;4652.1;275.0;282.0;282.0;284.0;282.0;275.0;285.0;281.0;278.0;279.0;273.0;280.0;274.0;278.0;282.0;275.0;281.0;284.0;278.0;273.0;278.0;276.0;278.0;279.0;278.0;282.0;281.0;273.0;282.0;279.0;277.0;278.0;279.0;282.0;276.0;278.0;280.0;279.0;278.0;279.0;282.0;275.0;283.0;274.0;276.0;281.0;274.0;273.0;275.0;283.0;282.0;273.0;274.0;276.0;279.0;282.0;282.0;285.0;278.6
16;4377.6;3645.9;4928.8;282.0;286.0;277.0;273.0;280.0;284.0;280.0;279.0;277.0;272.0;280.0;271.0;274.0;280.0;277.0;279.0;276.0;285.0;274.0;281.0;271.0;279.0;281.0;274.0;274.0;277.0;277.0;278.0;277.0;276.0;283.0;283.0;276.0;278.0;271.0;271.0;285.0;281.0;279.0;282.0;271.0;275.0;277.0;276.0;284.0;275.0;273.0;282.0;275.0;279.0;280.0;271.0;272.0;275.0;277.0;280.5;283.0;286.0;277.8
17;4610.1;3820.1;5143.2;278.0;277.0;279.0;282.0;279.0;281.0;278.0;274.0;282.0;277.0;283.0;276.0;278.0;277.0;272.0;281.0;277.0;276.0;282.0;276.0;273.0;274.0;276.0;278.0;279.0;273.0;287.0;277.0;279.0;279.0;273.0;271.0;279.0;282.0;272.0;280.0;279.0;281.0;279.0;275.0;283.0;282.0;283.0;271.0;278.0;278.0;275.0;274.0;276.0;277.0;274.0;271.0;273.0;275.5;278.0;279.5;282.0;287.0;277.7
18;4834.2;4026.0;5420.1;281.0;279.0;278.0;278.0;275.0;278.0;282.0;280.0;284.0;278.0;281.0;280.0;278.0;276.0;282.0;271.0;275.0;275.0;284.0;278.0;280.0;281.0;273.0;274.0;278.0;276.0;283.0;271.0;281.0;283.0;282.0;280.0;271.0;282.0;273.0;280.0;278.0;271.0;277.0;271.0;282.0;279.0;277.0;281.0;278.0;282.0;277.0;280.0;277.0;279.0;282.0;271.0;273.0;276.5;278.0;281.0;282.0;284.0;278.3
19;5067.2;4204.7;5630.4;273.0;279.0;276.0;282.0;275.0;283.0;281.0;278.0;280.0;278.0;273.0;282.0;275.0;279.0;275.0;279.0;281.0;280.0;278.0;274.0;287.0;277.0;277.0;271.0;278.0;285.0;283.0;276.0;274.0;277.0;278.0;278.0;279.0;280.0;274.0;275.0;275.0;278.0;282.0;279.0;279.0;283.0;277.0;278.0;277.0;271.0;280.0;275.0;283.0;278.0;274.0;271.0;274.0;275.0;278.0;280.0;283.0;287.0;278.0
