run;activation_index;cost_start;cost_end;improved;depth
11;1;278;278;0;0
7;1;294;282;1;0
6;1;276;276;0;0
1;1;281;279;1;0
13;1;282;282;0;0
0;1;278;277;1;0
2;1;286;285;1;0
8;1;285;285;0;0
14;1;283;283;0;0
3;1;282;282;0;0
12;1;286;286;0;0
9;1;285;284;1;0
10;1;285;283;1;0
5;1;285;285;0;0
4;1;288;280;1;0
15;1;309;276;1;0
11;2;275;275;0;0
9;2;281;281;0;0
1;2;279;279;0;0
6;2;276;276;0;0
12;2;286;286;0;0
3;2;281;281;0;0
8;2;285;285;0;0
0;2;277;277;0;0
7;2;274;274;0;0
5;2;285;285;0;0
13;2;279;279;0;0
4;2;275;275;0;0
15;2;276;276;0;0
14;2;281;278;1;0
2;2;285;285;0;0
10;2;283;283;0;0
3;3;277;277;0;0
9;3;275;275;0;0
6;3;276;276;0;0
1;3;277;277;0;0
13;3;277;277;0;0
2;3;280;280;0;0
14;3;277;277;0;0
11;3;275;275;0;0
0;3;277;277;0;0
8;3;285;285;0;0
15;3;276;276;0;0
7;3;274;274;0;0
4;3;275;275;0;0
5;3;277;277;0;0
10;3;283;283;0;0
12;3;283;279;1;0
3;4;275;275;0;0
2;4;279;279;0;0
9;4;271;271;0;0
11;4;273;273;0;0
14;4;276;276;0;0
13;4;275;275;0;0
6;4;275;275;0;0
1;4;277;277;0;0
8;4;282;282;0;0
15;4;275;275;0;0
7;4;274;274;0;0
5;4;276;276;0;0
0;4;277;277;0;0
4;4;275;275;0;0
12;4;278;278;0;0
6;5;274;274;0;0
2;5;276;276;0;0
3;5;274;273;1;0
10;4;283;283;0;0
14;5;274;274;0;0
11;5;273;273;0;0
8;5;281;280;1;0
9;5;271;271;0;0
13;5;275;275;0;0
1;5;275;275;0;0
2;6;275;274;1;0
7;5;274;274;0;0
0;5;276;276;0;0
5;5;275;274;1;0
4;5;275;275;0;0
6;6;274;274;0;0
12;5;278;278;0;0
3;6;273;273;0;0
11;6;273;273;0;0
15;5;275;273;1;0
10;5;283;283;0;0
14;6;274;274;0;0
8;6;276;276;0;0
13;6;275;275;0;0
9;6;271;271;0;0
16;1;287;284;1;0
18;1;280;280;0;0
