run;activation_index;cost_start;cost_end;improved;depth
9;1;622;617;1;0
4;1;700;628;1;0
3;1;661;639;1;0
13;1;662;616;1;0
1;1;741;631;1;0
12;1;680;646;1;0
2;1;694;631;1;0
8;1;677;614;1;0
0;1;741;628;1;0
11;1;780;633;1;0
5;1;656;650;1;0
7;1;668;610;1;0
6;1;700;625;1;0
14;1;684;634;1;0
15;1;732;622;1;0
13;2;647;623;1;1
9;2;650;621;1;1
0;2;678;629;1;1
1;2;689;630;1;1
2;2;631;623;1;1
11;2;627;634;0;1
15;2;687;623;1;1
4;2;665;618;1;1
14;2;633;618;1;1
10;1;689;616;1;2
3;2;633;632;1;1
7;2;641;625;1;1
8;2;645;623;1;2
6;2;644;620;1;2
5;2;660;619;1;2
12;2;653;623;1;2
10;2;612;612;0;1
2;3;644;611;1;2
14;3;622;618;1;1
3;3;638;618;1;1
13;3;626;619;1;2
15;3;623;623;0;1
8;3;635;614;1;1
0;3;627;617;1;1
7;3;631;609;1;2
9;3;636;617;1;3
11;3;620;611;1;2
4;3;621;617;1;2
6;3;625;618;1;1
10;3;616;612;1;1
5;3;626;612;1;1
1;3;641;611;1;4
12;3;628;612;1;4
6;4;614;611;1;1
15;4;617;616;1;2
4;4;613;613;0;1
14;4;614;611;1;1
0;4;612;611;1;1
10;4;609;609;0;1
8;4;610;610;0;1
13;4;612;610;1;2
3;4;616;608;1;2
4;5;612;612;0;1
9;4;616;610;1;3
2;4;609;609;0;1
5;4;610;610;0;1
14;5;609;609;0;1
1;4;610;610;0;1
11;4;610;610;0;1
12;4;611;610;1;2
7;4;608;608;0;1
6;5;610;610;0;1
4;6;608;608;0;1
10;5;608;608;0;1
13;5;609;608;1;2
15;5;616;616;0;0
0;5;611;611;0;0
8;5;610;610;0;0
3;5;608;608;0;0
2;5;609;609;0;0
5;5;610;610;0;0
14;6;609;609;0;0
1;5;610;610;0;0
12;5;610;610;0;0
9;5;610;610;0;0
11;5;610;610;0;0
7;5;608;608;0;0
6;6;610;610;0;0
4;7;608;608;0;0
10;6;608;608;0;0
13;6;608;608;0;0
15;6;609;609;0;1
8;6;608;608;0;0
0;6;610;610;0;1
1;6;609;609;0;1
11;6;609;609;0;1
3;6;608;608;0;0
2;6;609;609;0;0
5;6;609;609;0;0
14;7;609;609;0;0
9;6;610;610;0;0
12;6;610;610;0;0
15;7;608;608;0;1
17;1;765;624;1;0
18;1;679;633;1;0
19;1;726;620;1;0
20;1;646;618;1;0
21;1;718;631;1;0
22;1;671;620;1;0
16;1;698;622;1;1
6;7;610;610;0;0
23;1;687;620;1;0
24;1;639;619;1;0
25;1;726;633;1;0
26;1;676;632;1;0
27;1;703;635;1;0
17;2;644;617;1;1
19;2;641;622;1;1
28;1;717;616;1;0
30;1;727;618;1;0
29;1;669;614;1;0
24;2;648;630;1;1
23;2;699;622;1;1
18;2;649;621;1;2
31;1;726;613;1;1
27;2;679;621;1;1
25;2;724;626;1;2
17;3;643;624;1;1
22;2;654;620;1;2
19;3;636;620;1;1
29;2;676;621;1;1
21;2;648;622;1;2
26;2;643;617;1;2
31;2;669;636;1;1
20;2;668;616;1;3
23;3;660;618;1;1
30;2;711;616;1;2
27;3;618;618;0;1
29;3;659;617;1;2
31;3;644;618;1;1
26;3;623;623;0;1
19;4;614;613;1;1
16;2;659;615;1;4
28;2;620;614;1;2
17;4;617;609;1;2
25;3;623;616;1;2
27;4;616;616;0;1
22;3;634;610;1;3
21;3;610;616;0;2
30;3;650;613;1;1
24;3;626;615;1;3
20;3;616;614;1;2
18;3;625;610;1;2
26;4;622;614;1;2
23;4;617;609;1;2
19;5;610;608;1;2
31;4;611;610;1;2
21;4;609;609;0;1
24;4;609;609;0;1
16;3;615;608;1;2
28;3;619;610;1;2
22;4;609;609;0;1
27;5;613;613;0;1
25;4;612;612;0;1
20;4;612;610;1;2
30;4;611;609;1;2
29;4;611;609;1;2
18;4;608;608;0;1
31;5;609;609;0;1
28;4;608;608;0;1
26;5;610;608;1;2
27;6;611;610;1;2
29;5;608;608;0;1
25;5;610;610;0;1
17;5;609;609;0;0
25;6;608;608;0;1
19;6;608;608;0;0
23;5;609;609;0;0
24;5;609;609;0;0
21;5;609;609;0;0
16;4;608;608;0;0
22;5;609;609;0;0
30;5;609;609;0;0
20;5;608;608;0;0
18;5;608;608;0;0
31;6;609;609;0;0
28;5;608;608;0;0
26;6;608;608;0;0
27;7;610;610;0;0
29;6;608;608;0;0
21;6;608;608;0;0
25;7;608;608;0;0
30;6;608;608;0;1
17;6;609;609;0;0
27;8;608;608;0;1
23;6;608;608;0;0
19;7;608;608;0;0
24;6;609;609;0;0
20;6;608;608;0;0
16;5;608;608;0;0
22;6;609;609;0;0
18;6;608;608;0;0
31;7;609;609;0;0
32;1;691;624;1;0
26;7;608;608;0;0
28;6;608;608;0;0
33;1;733;619;1;0
35;1;648;634;1;0
29;7;608;608;0;0
36;1;713;619;1;0
34;1;729;620;1;0
37;1;794;622;1;0
38;1;668;627;1;0
39;1;740;627;1;0
40;1;719;619;1;0
43;1;719;620;1;0
42;1;679;610;1;0
41;1;679;630;1;0
36;2;668;644;1;1
45;1;644;630;1;0
35;2;679;633;1;1
33;2;646;628;1;1
44;1;733;634;1;0
46;1;725;620;1;0
39;2;661;629;1;1
43;2;617;617;0;1
32;2;656;617;1;2
42;2;669;626;1;1
40;2;644;637;1;1
