run;activation_index;cost_start;cost_end;improved;depth
3;1;777;623;1;0
12;1;904;631;1;0
4;1;967;623;1;0
7;1;985;611;1;0
15;1;897;622;1;0
14;1;989;631;1;0
5;1;862;618;1;0
8;1;904;620;1;0
10;1;954;610;1;0
11;1;1023;633;1;0
1;1;928;616;1;0
13;1;972;641;1;0
0;1;933;619;1;0
6;1;923;633;1;0
9;1;921;641;1;0
2;1;919;627;1;0
3;2;620;620;0;0
8;2;617;617;0;0
14;2;624;624;0;0
6;2;625;625;0;0
9;2;631;631;0;0
13;2;621;621;0;0
12;2;631;631;0;0
4;2;623;623;0;0
15;2;622;622;0;0
5;2;618;618;0;0
7;2;611;611;0;0
0;2;619;619;0;0
1;2;616;616;0;0
10;2;610;610;0;0
2;2;627;627;0;0
11;2;633;633;0;0
3;3;620;620;0;0
14;3;624;624;0;0
8;3;617;617;0;0
13;3;621;621;0;0
9;3;611;611;0;0
6;3;619;619;0;0
15;3;619;619;0;0
3;4;613;613;0;0
11;3;623;623;0;0
12;3;631;631;0;0
13;4;621;621;0;0
8;4;617;617;0;0
14;4;621;621;0;0
4;3;623;623;0;0
5;3;618;618;0;0
0;3;619;619;0;0
1;3;616;616;0;0
10;3;610;610;0;0
2;3;627;627;0;0
7;3;611;611;0;0
16;1;934;620;1;0
17;1;882;620;1;0
18;1;836;619;1;0
19;1;883;632;1;0
15;4;619;619;0;0
11;4;623;623;0;0
6;4;619;619;0;0
9;4;611;611;0;0
20;1;875;654;1;0
21;1;991;636;1;0
4;4;619;619;0;0
5;4;616;616;0;0
2;4;615;615;0;0
12;4;631;631;0;0
22;1;902;638;1;0
23;1;958;619;1;0
0;4;619;619;0;0
1;4;616;616;0;0
10;4;610;610;0;0
7;4;611;611;0;0
24;1;887;619;1;0
19;2;630;630;0;0
25;1;935;616;1;0
26;1;995;644;1;0
17;2;620;620;0;0
16;2;620;620;0;0
18;2;619;619;0;0
27;1;890;622;1;0
30;1;860;615;1;0
28;1;953;612;1;0
29;1;854;624;1;0
31;1;1035;633;1;0
20;2;635;635;0;0
21;2;625;625;0;0
22;2;624;624;0;0
19;3;618;618;0;0
23;2;619;619;0;0
24;2;619;619;0;0
21;3;625;625;0;0
20;3;624;624;0;0
26;2;632;632;0;0
17;3;620;620;0;0
25;2;616;616;0;0
22;3;624;624;0;0
16;3;620;620;0;0
18;3;619;619;0;0
27;2;617;617;0;0
29;2;624;624;0;0
28;2;612;612;0;0
30;2;615;615;0;0
31;2;633;633;0;0
22;4;624;624;0;0
21;4;620;620;0;0
19;4;618;618;0;0
23;3;619;619;0;0
26;3;627;627;0;0
24;3;619;619;0;0
32;1;1028;620;1;0
18;4;617;617;0;0
20;4;624;624;0;0
17;4;620;620;0;0
16;4;620;620;0;0
25;3;616;616;0;0
33;1;845;633;1;0
31;3;632;632;0;0
34;1;838;612;1;0
27;3;617;617;0;0
28;3;612;612;0;0
29;3;624;624;0;0
30;3;615;615;0;0
35;1;1014;625;1;0
36;1;886;620;1;0
38;1;823;627;1;0
37;1;815;620;1;0
26;4;626;626;0;0
31;4;628;628;0;0
23;4;619;619;0;0
32;2;617;617;0;0
33;2;622;622;0;0
40;1;778;622;1;0
24;4;619;619;0;0
39;1;867;636;1;0
27;4;612;612;0;0
25;4;616;616;0;0
34;2;612;612;0;0
41;1;854;630;1;0
28;4;612;612;0;0
29;4;624;624;0;0
30;4;615;615;0;0
38;2;625;625;0;0
35;2;625;625;0;0
32;3;617;617;0;0
42;1;863;619;1;0
43;1;953;628;1;0
33;3;622;622;0;0
36;2;620;620;0;0
37;2;620;620;0;0
44;1;929;629;1;0
45;1;907;627;1;0
46;1;901;625;1;0
47;1;917;629;1;0
39;2;631;631;0;0
32;4;617;617;0;0
33;4;622;622;0;0
38;3;621;621;0;0
40;2;622;622;0;0
41;2;627;627;0;0
34;3;612;612;0;0
48;1;848;624;1;0
49;1;853;611;1;0
43;2;621;621;0;0
35;3;625;625;0;0
42;2;619;619;0;0
36;3;620;620;0;0
37;3;620;620;0;0
45;2;624;624;0;0
39;3;619;619;0;0
44;2;629;629;0;0
47;2;627;627;0;0
41;3;627;627;0;0
46;2;625;625;0;0
43;3;621;621;0;0
38;4;621;621;0;0
40;3;622;622;0;0
45;3;624;624;0;0
41;4;626;626;0;0
47;3;627;627;0;0
34;4;612;612;0;0
35;4;622;622;0;0
48;2;624;624;0;0
42;3;617;617;0;0
49;2;611;611;0;0
43;4;621;621;0;0
50;1;992;627;1;0
36;4;620;620;0;0
37;4;620;620;0;0
39;4;619;619;0;0
44;3;629;629;0;0
45;4;613;613;0;0
47;4;627;627;0;0
46;3;625;625;0;0
42;4;617;617;0;0
40;4;619;619;0;0
49;3;610;610;0;0
48;3;624;624;0;0
50;2;627;627;0;0
44;4;629;629;0;0
49;4;610;610;0;0
46;4;625;625;0;0
48;4;620;620;0;0
50;3;627;627;0;0
50;4;619;619;0;0
