run;activation_index;cost_start;cost_end;improved;depth
10;1;1847;1188;1;0
15;1;1790;1173;1;0
14;1;1898;1186;1;0
18;1;1738;1183;1;0
27;1;1848;1175;1;0
11;1;1856;1184;1;0
8;1;1777;1186;1;0
22;1;1734;1184;1;0
28;1;1799;1195;1;0
29;1;1702;1181;1;0
3;1;1746;1189;1;0
19;1;1774;1175;1;0
13;1;1712;1175;1;0
30;1;1751;1189;1;0
25;1;1734;1174;1;0
6;1;1709;1187;1;0
4;1;1796;1167;1;0
16;1;1884;1175;1;0
2;1;1915;1181;1;0
1;1;1880;1187;1;0
20;1;1815;1166;1;0
24;1;1805;1176;1;0
9;1;1827;1179;1;0
23;1;1766;1186;1;0
31;1;1809;1171;1;0
12;1;1912;1189;1;0
26;1;1769;1180;1;0
0;1;1834;1175;1;0
17;1;1732;1180;1;0
21;1;1740;1181;1;0
5;1;1778;1180;1;0
7;1;1905;1192;1;0
27;2;1718;1177;1;1
8;2;1742;1183;1;1
28;2;1740;1189;1;1
16;2;1692;1189;1;1
14;2;1759;1183;1;1
2;2;1773;1175;1;1
13;2;1729;1186;1;1
3;2;1735;1172;1;1
18;2;1836;1186;1;1
15;2;1783;1187;1;1
30;2;1755;1194;1;1
19;2;1810;1163;1;1
12;2;1733;1178;1;1
23;2;1701;1174;1;1
6;2;1686;1184;1;1
20;2;1605;1172;1;1
1;2;1719;1175;1;1
4;2;1613;1174;1;1
24;2;1680;1185;1;1
7;2;1743;1178;1;1
17;2;1626;1182;1;1
26;2;1760;1181;1;1
29;2;1609;1181;1;1
22;2;1656;1175;1;1
5;2;1668;1174;1;1
11;2;1640;1179;1;1
31;2;1660;1178;1;1
25;2;1606;1182;1;1
9;2;1641;1203;1;1
10;2;1639;1165;1;1
27;3;1605;1189;1;1
13;3;1690;1179;1;1
28;3;1556;1175;1;1
16;3;1593;1175;1;1
8;3;1576;1169;1;1
21;2;1652;1173;1;1
2;3;1514;1177;1;1
14;3;1544;1175;1;1
18;3;1691;1175;1;1
15;3;1616;1171;1;1
19;3;1508;1190;1;1
0;2;1593;1181;1;1
23;3;1598;1178;1;1
20;3;1420;1198;1;1
7;3;1476;1172;1;1
6;3;1540;1191;1;1
1;3;1532;1204;1;1
30;3;1571;1169;1;1
3;3;1537;1174;1;1
24;3;1611;1173;1;1
