run;activation_index;cost_start;cost_end;improved;depth
14;1;2078;1175;1;0
17;1;2147;1192;1;0
26;1;2111;1170;1;0
22;1;2200;1170;1;0
21;1;2061;1174;1;0
10;1;2268;1174;1;0
20;1;1994;1178;1;0
3;1;2144;1182;1;0
29;1;2200;1167;1;0
13;1;2172;1174;1;0
18;1;2060;1170;1;0
8;1;2087;1167;1;0
27;1;2138;1185;1;0
5;1;2054;1177;1;0
25;1;2161;1195;1;0
31;1;2187;1186;1;0
30;1;2211;1185;1;0
24;1;2378;1189;1;0
12;1;2200;1172;1;0
15;1;2188;1178;1;0
28;1;2279;1175;1;0
1;1;2315;1185;1;0
0;1;2159;1182;1;0
11;1;2319;1172;1;0
4;1;2329;1172;1;0
9;1;2262;1173;1;0
16;1;2164;1176;1;0
6;1;2312;1175;1;0
7;1;2271;1185;1;0
19;1;2268;1180;1;0
23;1;2307;1169;1;0
2;1;2277;1183;1;0
21;2;1171;1171;0;0
20;2;1176;1176;0;0
17;2;1187;1187;0;0
24;2;1177;1177;0;0
1;2;1168;1168;0;0
21;3;1171;1171;0;0
17;3;1187;1187;0;0
20;3;1176;1176;0;0
24;3;1177;1177;0;0
26;2;1170;1170;0;0
1;3;1168;1168;0;0
13;2;1174;1174;0;0
14;2;1175;1175;0;0
25;2;1195;1195;0;0
22;2;1170;1170;0;0
30;2;1185;1185;0;0
10;2;1174;1174;0;0
21;4;1171;1171;0;0
8;2;1167;1167;0;0
27;2;1185;1185;0;0
3;2;1178;1178;0;0
18;2;1170;1170;0;0
5;2;1177;1177;0;0
29;2;1167;1167;0;0
12;2;1172;1172;0;0
31;2;1186;1186;0;0
17;4;1187;1187;0;0
15;2;1178;1178;0;0
28;2;1175;1175;0;0
16;2;1176;1176;0;0
24;4;1177;1177;0;0
20;4;1176;1176;0;0
4;2;1172;1172;0;0
11;2;1172;1172;0;0
1;4;1168;1168;0;0
19;2;1180;1180;0;0
9;2;1173;1173;0;0
0;2;1182;1182;0;0
23;2;1169;1169;0;0
6;2;1175;1175;0;0
7;2;1185;1185;0;0
2;2;1183;1183;0;0
32;1;2310;1177;1;0
35;1;2162;1196;1;0
33;1;2088;1178;1;0
34;1;2126;1170;1;0
36;1;2268;1170;1;0
27;3;1176;1176;0;0
23;3;1168;1168;0;0
27;4;1176;1176;0;0
13;3;1174;1174;0;0
25;3;1195;1195;0;0
30;3;1185;1185;0;0
26;3;1170;1170;0;0
14;3;1175;1175;0;0
18;3;1170;1170;0;0
22;3;1170;1170;0;0
23;4;1168;1168;0;0
5;3;1177;1177;0;0
3;3;1178;1178;0;0
12;3;1172;1172;0;0
29;3;1167;1167;0;0
8;3;1167;1167;0;0
10;3;1170;1170;0;0
31;3;1186;1186;0;0
16;3;1176;1176;0;0
19;3;1180;1180;0;0
28;3;1175;1175;0;0
4;3;1172;1172;0;0
11;3;1172;1172;0;0
15;3;1178;1178;0;0
6;3;1175;1175;0;0
7;3;1185;1185;0;0
9;3;1173;1173;0;0
2;3;1183;1183;0;0
0;3;1182;1182;0;0
35;2;1195;1195;0;0
37;1;2191;1182;1;0
35;3;1195;1195;0;0
38;1;2390;1169;1;0
32;2;1177;1177;0;0
34;2;1170;1170;0;0
33;2;1178;1178;0;0
35;4;1195;1195;0;0
36;2;1170;1170;0;0
14;4;1171;1171;0;0
39;1;2139;1182;1;0
25;4;1195;1195;0;0
13;4;1174;1174;0;0
30;4;1185;1185;0;0
26;4;1170;1170;0;0
18;4;1170;1170;0;0
3;4;1178;1178;0;0
22;4;1170;1170;0;0
5;4;1177;1177;0;0
12;4;1172;1172;0;0
29;4;1167;1167;0;0
8;4;1167;1167;0;0
16;4;1176;1176;0;0
19;4;1180;1180;0;0
4;4;1172;1172;0;0
28;4;1175;1175;0;0
11;4;1172;1172;0;0
10;4;1170;1170;0;0
15;4;1178;1178;0;0
31;4;1186;1186;0;0
7;4;1185;1185;0;0
9;4;1173;1173;0;0
6;4;1175;1175;0;0
2;4;1183;1183;0;0
40;1;2117;1201;1;0
0;4;1182;1182;0;0
42;1;2343;1181;1;0
32;3;1177;1177;0;0
38;2;1169;1169;0;0
47;1;2089;1170;1;0
43;1;2043;1172;1;0
41;1;2157;1186;1;0
50;1;2253;1180;1;0
44;1;2128;1176;1;0
48;1;2138;1179;1;0
46;1;2285;1189;1;0
36;3;1170;1170;0;0
37;2;1182;1182;0;0
45;1;2297;1195;1;0
33;3;1178;1178;0;0
34;3;1170;1170;0;0
49;1;2092;1175;1;0
40;2;1196;1196;0;0
40;3;1196;1196;0;0
40;4;1196;1196;0;0
39;2;1182;1182;0;0
42;2;1181;1181;0;0
32;4;1177;1177;0;0
43;2;1172;1172;0;0
50;2;1180;1180;0;0
47;2;1170;1170;0;0
38;3;1169;1169;0;0
41;2;1186;1186;0;0
33;4;1175;1175;0;0
48;2;1179;1179;0;0
44;2;1176;1176;0;0
36;4;1170;1170;0;0
46;2;1189;1189;0;0
45;2;1195;1195;0;0
34;4;1167;1167;0;0
37;3;1182;1182;0;0
39;3;1180;1180;0;0
49;2;1175;1175;0;0
39;4;1180;1180;0;0
42;3;1173;1173;0;0
42;4;1173;1173;0;0
43;3;1172;1172;0;0
50;3;1180;1180;0;0
47;3;1170;1170;0;0
38;4;1169;1169;0;0
41;3;1186;1186;0;0
48;3;1179;1179;0;0
44;3;1176;1176;0;0
45;3;1195;1195;0;0
46;3;1189;1189;0;0
37;4;1182;1182;0;0
49;3;1175;1175;0;0
43;4;1172;1172;0;0
50;4;1180;1180;0;0
47;4;1170;1170;0;0
41;4;1186;1186;0;0
46;4;1183;1183;0;0
48;4;1179;1179;0;0
44;4;1176;1176;0;0
45;4;1195;1195;0;0
49;4;1175;1175;0;0
