run;activation_index;cost_start;cost_end;improved;depth
24;1;3250;1424;1;0
19;1;3333;1431;1;0
20;1;3304;1452;1;0
2;1;3151;1419;1;0
22;1;3044;1419;1;0
26;1;3620;1431;1;0
6;1;3727;1455;1;0
7;1;3187;1430;1;0
10;1;2949;1417;1;0
4;1;3246;1421;1;0
27;1;3340;1421;1;0
0;1;3149;1452;1;0
23;1;3479;1408;1;0
16;1;3463;1434;1;0
18;1;3263;1411;1;0
9;1;3328;1393;1;0
8;1;3466;1416;1;0
1;1;3209;1443;1;0
30;1;3385;1434;1;0
12;1;2979;1443;1;0
11;1;3377;1420;1;0
21;1;3330;1415;1;0
5;1;3627;1412;1;0
29;1;3428;1404;1;0
13;1;3324;1407;1;0
15;1;3573;1402;1;0
17;1;3321;1441;1;0
25;1;3297;1432;1;0
3;1;3583;1455;1;0
14;1;3495;1443;1;0
28;1;3344;1409;1;0
31;1;3199;1404;1;0
24;2;3040;1414;1;1
22;2;2875;1403;1;1
12;2;2536;1442;1;1
20;2;3090;1448;1;1
26;2;2780;1418;1;1
4;2;2858;1417;1;1
23;2;2869;1429;1;1
16;2;2969;1405;1;1
5;2;2924;1461;1;1
2;2;2776;1487;1;1
29;2;2509;1436;1;1
19;2;3101;1466;1;1
9;2;2699;1418;1;1
7;2;2908;1430;1;1
0;2;2775;1424;1;1
21;2;3102;1395;1;1
11;2;3157;1411;1;1
8;2;3144;1427;1;1
18;2;2844;1445;1;1
6;2;3073;1414;1;1
25;2;2929;1392;1;1
28;2;2675;1416;1;1
13;2;3235;1411;1;1
1;2;3044;1435;1;1
30;2;3139;1406;1;1
15;2;2737;1476;1;1
10;2;2996;1416;1;1
17;2;2931;1455;1;1
14;2;2848;1442;1;1
3;2;2786;1429;1;1
27;2;2719;1450;1;1
31;2;2608;1418;1;1
24;3;2703;1390;1;1
5;3;2667;1424;1;1
22;3;2783;1397;1;1
4;3;2742;1422;1;1
8;3;2320;1446;1;1
9;3;2263;1404;1;1
23;3;2750;1412;1;1
26;3;2886;1421;1;1
13;3;2468;1388;1;1
12;3;2494;1424;1;1
10;3;2427;1404;1;1
28;3;2221;1464;1;1
7;3;2133;1409;1;1
19;3;2531;1417;1;1
11;3;2755;1400;1;1
18;3;2678;1404;1;1
3;3;2540;1398;1;1
29;3;2398;1439;1;1
21;3;2325;1402;1;1
0;3;2398;1457;1;1
20;3;2794;1440;1;1
16;3;2642;1412;1;1
6;3;2551;1418;1;1
1;3;2588;1428;1;1
15;3;2390;1417;1;1
2;3;2559;1422;1;1
14;3;2331;1451;1;1
30;3;2435;1451;1;1
25;3;2479;1411;1;1
27;3;2396;1406;1;1
31;3;2205;1421;1;1
17;3;2473;1467;1;1
4;4;1422;1422;0;0
5;4;1424;1424;0;0
22;4;1397;1397;0;0
0;4;1457;1457;0;0
7;4;1409;1409;0;0
13;4;1388;1388;0;0
10;4;1404;1404;0;0
12;4;1424;1424;0;0
16;4;1412;1412;0;0
20;4;1440;1440;0;0
28;4;1464;1464;0;0
25;4;1411;1411;0;0
30;4;1451;1451;0;0
8;4;1446;1446;0;0
24;4;1390;1390;0;0
3;4;1398;1398;0;0
2;4;1422;1422;0;0
15;4;1417;1417;0;0
31;4;1421;1421;0;0
23;4;1412;1412;0;0
17;4;1467;1467;0;0
