run;activation_index;cost_start;cost_end;improved;depth
7;1;4325;1420;1;0
6;1;4439;1390;1;0
2;1;4187;1400;1;0
5;1;4155;1390;1;0
3;1;4228;1440;1;0
0;1;4180;1456;1;0
12;1;4356;1413;1;0
4;1;4152;1403;1;0
8;1;4318;1413;1;0
13;1;4470;1420;1;0
10;1;4346;1414;1;0
11;1;4262;1408;1;0
1;1;3987;1481;1;0
14;1;4317;1411;1;0
9;1;4368;1406;1;0
15;1;4320;1398;1;0
1;2;1478;1478;0;0
1;3;1478;1478;0;0
5;2;1390;1390;0;0
12;2;1413;1413;0;0
6;2;1390;1390;0;0
7;2;1412;1412;0;0
2;2;1400;1400;0;0
8;2;1413;1413;0;0
3;2;1440;1440;0;0
11;2;1408;1408;0;0
4;2;1403;1403;0;0
10;2;1414;1414;0;0
0;2;1456;1456;0;0
13;2;1410;1410;0;0
14;2;1411;1411;0;0
15;2;1398;1398;0;0
9;2;1406;1406;0;0
16;1;4201;1411;1;0
14;3;1409;1409;0;0
5;3;1390;1390;0;0
12;3;1413;1413;0;0
7;3;1412;1412;0;0
2;3;1400;1400;0;0
8;3;1413;1413;0;0
6;3;1390;1390;0;0
11;3;1408;1408;0;0
13;3;1410;1410;0;0
3;3;1440;1440;0;0
4;3;1403;1403;0;0
10;3;1406;1406;0;0
0;3;1456;1456;0;0
15;3;1398;1398;0;0
9;3;1406;1406;0;0
17;1;4134;1406;1;0
16;2;1411;1411;0;0
7;4;1412;1412;0;0
19;1;4336;1420;1;0
18;1;4382;1422;1;0
20;1;4312;1421;1;0
17;2;1406;1406;0;0
21;1;4251;1413;1;0
22;1;4319;1415;1;0
24;1;4245;1406;1;0
23;1;4064;1450;1;0
25;1;4220;1414;1;0
29;1;4399;1413;1;0
16;3;1411;1411;0;0
26;1;4325;1405;1;0
30;1;4366;1409;1;0
27;1;4260;1395;1;0
31;1;4140;1412;1;0
28;1;4261;1419;1;0
19;2;1404;1404;0;0
20;2;1421;1421;0;0
18;2;1422;1422;0;0
21;2;1413;1413;0;0
17;3;1406;1406;0;0
24;2;1406;1406;0;0
22;2;1415;1415;0;0
23;2;1450;1450;0;0
25;2;1414;1414;0;0
29;2;1413;1413;0;0
26;2;1405;1405;0;0
27;2;1395;1395;0;0
30;2;1409;1409;0;0
28;2;1419;1419;0;0
31;2;1412;1412;0;0
32;1;4115;1405;1;0
21;3;1404;1404;0;0
20;3;1421;1421;0;0
22;3;1410;1410;0;0
19;3;1404;1404;0;0
18;3;1422;1422;0;0
24;3;1406;1406;0;0
29;3;1413;1413;0;0
25;3;1414;1414;0;0
23;3;1450;1450;0;0
26;3;1405;1405;0;0
27;3;1395;1395;0;0
30;3;1409;1409;0;0
28;3;1419;1419;0;0
31;3;1412;1412;0;0
33;1;4319;1414;1;0
34;1;4499;1418;1;0
32;2;1405;1405;0;0
35;1;4479;1445;1;0
33;2;1414;1414;0;0
34;2;1418;1418;0;0
37;1;4066;1443;1;0
36;1;4075;1432;1;0
38;1;4083;1432;1;0
40;1;4506;1428;1;0
39;1;4446;1423;1;0
32;3;1405;1405;0;0
43;1;4322;1396;1;0
45;1;4317;1437;1;0
42;1;4199;1449;1;0
44;1;4313;1424;1;0
35;2;1445;1445;0;0
46;1;4098;1413;1;0
41;1;4174;1421;1;0
47;1;4423;1407;1;0
33;3;1414;1414;0;0
34;3;1418;1418;0;0
36;2;1432;1432;0;0
42;2;1445;1445;0;0
42;3;1445;1445;0;0
37;2;1443;1443;0;0
40;2;1428;1428;0;0
38;2;1432;1432;0;0
39;2;1423;1423;0;0
43;2;1396;1396;0;0
45;2;1437;1437;0;0
46;2;1413;1413;0;0
44;2;1424;1424;0;0
35;3;1445;1445;0;0
41;2;1421;1421;0;0
47;2;1407;1407;0;0
48;1;4255;1392;1;0
49;1;4121;1442;1;0
34;4;1418;1418;0;0
36;3;1432;1432;0;0
40;3;1428;1428;0;0
38;3;1432;1432;0;0
37;3;1443;1443;0;0
43;3;1396;1396;0;0
45;3;1437;1437;0;0
39;3;1423;1423;0;0
46;3;1413;1413;0;0
44;3;1424;1424;0;0
50;1;4091;1409;1;0
41;3;1421;1421;0;0
47;3;1407;1407;0;0
49;2;1435;1435;0;0
49;3;1435;1435;0;0
48;2;1392;1392;0;0
50;2;1409;1409;0;0
48;3;1392;1392;0;0
50;3;1409;1409;0;0
