run;activation_index;cost_start;cost_end;improved;depth
13;1;6328;2948;1;0
11;1;6373;2931;1;0
9;1;5584;2915;1;0
10;1;6767;2928;1;0
12;1;6605;2937;1;0
2;1;6390;2937;1;0
6;1;6220;2938;1;0
1;1;6269;2928;1;0
14;1;6292;2906;1;0
0;1;5968;2921;1;0
15;1;5954;2920;1;0
7;1;6356;2944;1;0
4;1;6028;2943;1;0
8;1;5723;2940;1;0
5;1;6066;2978;1;0
3;1;6054;2931;1;0
12;2;5454;2950;1;1
6;2;5570;2934;1;1
14;2;6225;2960;1;1
13;2;5552;2924;1;1
9;2;5681;2919;1;1
15;2;5627;2995;1;1
7;2;5135;2918;1;1
10;2;5531;2925;1;1
1;2;5745;2955;1;1
3;2;5581;2968;1;1
4;2;4896;2968;1;1
2;2;5027;2954;1;1
8;2;4945;2958;1;1
0;2;4412;2968;1;1
12;3;5175;2960;1;1
11;2;5232;2921;1;1
5;2;5910;2916;1;1
6;3;4751;2913;1;1
9;3;4179;2939;1;1
13;3;4030;2927;1;1
7;3;3931;2917;1;1
3;3;4855;2948;1;1
14;3;3941;2936;1;1
4;3;3645;2938;1;1
2;3;4511;2975;1;1
1;3;3781;2955;1;1
15;3;4579;2910;1;1
10;3;4588;2930;1;1
8;3;4483;2925;1;1
5;3;4166;2966;1;1
0;3;4699;2944;1;1
11;3;4670;2924;1;1
12;4;2960;2960;0;0
5;4;2966;2966;0;0
6;4;2913;2913;0;0
13;4;2927;2927;0;0
4;4;2938;2938;0;0
9;4;2939;2939;0;0
7;4;2917;2917;0;0
16;1;5826;2935;1;0
15;4;2910;2910;0;0
1;4;2955;2955;0;0
8;4;2925;2925;0;0
17;1;6091;2967;1;0
3;4;2948;2948;0;0
18;1;6364;2930;1;0
21;1;6321;2965;1;0
20;1;6205;2928;1;0
19;1;6086;2961;1;0
23;1;5978;2942;1;0
24;1;5976;2938;1;0
16;2;5038;3022;1;1
26;1;6279;2906;1;0
25;1;6012;2960;1;0
27;1;6471;2983;1;0
22;1;6418;2913;1;0
17;2;5802;2956;1;1
18;2;5526;2962;1;1
28;1;6485;2947;1;0
20;2;5450;2938;1;1
19;2;5699;2916;1;1
24;2;5813;2951;1;1
21;2;5389;2938;1;1
25;2;5445;2960;1;1
26;2;5437;2935;1;1
17;3;4667;2967;1;1
23;2;5414;2921;1;1
29;1;6013;2971;1;0
16;3;4973;2932;1;1
22;2;5715;2931;1;1
27;2;5692;2986;1;1
18;3;4080;2936;1;1
30;1;6128;2972;1;0
28;2;4970;2921;1;1
24;3;4987;2989;1;1
20;3;5749;2987;1;1
23;3;3893;2930;1;1
19;3;5588;2943;1;1
21;3;5037;2922;1;1
26;3;4992;2909;1;1
22;3;4602;2971;1;1
29;2;5523;2946;1;1
25;3;5182;2943;1;1
27;3;4416;2932;1;1
10;4;2930;2930;0;0
30;2;5701;2943;1;1
28;3;5064;2937;1;1
29;3;4552;2932;1;1
30;3;5232;2947;1;1
17;4;2967;2967;0;0
