run;activation_index;cost_start;cost_end;improved;depth
5;1;7451;2971;1;0
11;1;7235;2945;1;0
12;1;6975;2949;1;0
7;1;7288;2955;1;0
9;1;7620;2918;1;0
4;1;6263;2973;1;0
2;1;6687;2925;1;0
10;1;6569;2958;1;0
0;1;7736;2957;1;0
6;1;7644;2973;1;0
1;1;7114;2947;1;0
3;1;7213;2968;1;0
15;1;7610;2922;1;0
14;1;6809;2939;1;0
13;1;7112;2938;1;0
8;1;7295;2962;1;0
5;2;2963;2963;0;0
13;2;2935;2935;0;0
11;2;2945;2945;0;0
12;2;2949;2949;0;0
9;2;2918;2918;0;0
4;2;2973;2973;0;0
3;2;2968;2968;0;0
2;2;2925;2925;0;0
1;2;2947;2947;0;0
15;2;2922;2922;0;0
6;2;2973;2973;0;0
8;2;2962;2962;0;0
14;2;2939;2939;0;0
7;2;2955;2955;0;0
0;2;2957;2957;0;0
10;2;2958;2958;0;0
16;1;6623;2935;1;0
17;1;8208;2962;1;0
18;1;7790;2961;1;0
24;1;6965;2936;1;0
23;1;6773;2965;1;0
22;1;7037;2973;1;0
28;1;7185;2969;1;0
21;1;7133;2944;1;0
19;1;8181;2935;1;0
25;1;6994;2949;1;0
20;1;6910;2942;1;0
30;1;6950;2962;1;0
29;1;7211;2934;1;0
27;1;7427;2976;1;0
26;1;8167;2945;1;0
31;1;6873;2957;1;0
16;2;2935;2935;0;0
17;2;2962;2962;0;0
25;2;2945;2945;0;0
23;2;2965;2965;0;0
22;2;2973;2973;0;0
18;2;2930;2930;0;0
24;2;2936;2936;0;0
28;2;2969;2969;0;0
21;2;2944;2944;0;0
19;2;2935;2935;0;0
20;2;2942;2942;0;0
30;2;2962;2962;0;0
27;2;2976;2976;0;0
29;2;2934;2934;0;0
26;2;2945;2945;0;0
31;2;2957;2957;0;0
32;1;7881;2942;1;0
33;1;7357;2936;1;0
34;1;7302;2957;1;0
37;1;7251;2932;1;0
42;1;8040;2953;1;0
35;1;7819;2933;1;0
43;1;6688;2950;1;0
36;1;7335;2953;1;0
39;1;7190;2939;1;0
41;1;7199;2934;1;0
40;1;7607;2963;1;0
44;1;7056;3020;1;0
46;1;7281;2979;1;0
38;1;7944;2937;1;0
45;1;6839;2942;1;0
47;1;6691;2938;1;0
32;2;2942;2942;0;0
33;2;2936;2936;0;0
34;2;2957;2957;0;0
43;2;2949;2949;0;0
37;2;2932;2932;0;0
42;2;2953;2953;0;0
36;2;2953;2953;0;0
41;2;2934;2934;0;0
35;2;2933;2933;0;0
39;2;2939;2939;0;0
40;2;2963;2963;0;0
38;2;2937;2937;0;0
44;2;3020;3020;0;0
46;2;2979;2979;0;0
45;2;2942;2942;0;0
47;2;2938;2938;0;0
48;1;7085;2974;1;0
49;1;7506;2930;1;0
50;1;7450;2969;1;0
48;2;2974;2974;0;0
50;2;2969;2969;0;0
49;2;2930;2930;0;0
